feature,median_abs_std,p90,p95,p99,max_abs_std,n_gt3sd,n_gt5sd
per90_fouls_suffered,0.3931820919372439,1.1563485126861086,1.4614147403055249,2.293494612536789,4.5942370542098745,14,0
per90_yellow_cards,0.4452016689932279,1.158187853766771,1.4807891621861426,2.264418128172893,3.9113632540593937,13,0
per90_loose_ball_duels,0.4081943201045719,1.1054353936876482,1.4197690793736664,2.240125490784975,5.036597602859159,11,1
per90_dribbles_against,0.4125173243659068,1.1407720213954986,1.4555830657760986,2.2366135567203402,4.224157680710369,13,0
per90_forward_passes,0.4538032168728131,1.208111539303806,1.4976326742744583,2.2089943182404803,4.049369111194048,11,0
rate_aerial_duels_won,0.42664425874656936,1.1781613374458215,1.4382736039353634,2.2027956182712876,6.830582494430839,12,2
per90_passes_to_final_third,0.45342661762611924,1.1794545931705047,1.4666553928503745,2.1905295661460964,4.107444743403625,10,0
per90_fouls,0.40550983748851066,1.1389462901961724,1.4203095595847883,2.088526300145003,4.906055081638088,7,0
per90_progressive_passes,0.4484833333953176,1.1476620196782494,1.4405478942209295,2.0754339744049286,4.807505579785204,9,0
per90_opponent_half_recoveries,0.4151278431411941,1.147137482614637,1.474869578650458,2.0657046967617134,3.7528235571906423,7,0
per90_defensive_duels,0.4008292155434594,1.0950762589329077,1.3743826453547763,2.037331476603121,3.2935997547232194,3,0
per90_recoveries,0.42387479146942475,1.1409136425211568,1.4127915729675595,2.0173213638396117,4.005935965125446,6,0
per90_interceptions,0.4173869305430179,1.1037397866655065,1.369244115738655,1.9784086727499632,4.193078491163786,8,0
per90_losses,0.4141292310040758,1.109006254054006,1.368057446897883,1.949710129967507,4.729391904662613,9,0
rate_successful_sliding_tackles,0.3717188084368936,1.4626658217214688,1.6831101015457102,1.8986291315005608,2.0649141004010167,0,0
per90_own_half_losses,0.42682515118890735,1.1044354879357314,1.3482921525106157,1.872650817436908,3.013598603425571,1,0
