feature,factor,loading,q5,q95,group,sign,abs_loading,communality
rate_successful_dribbles,Factor_2,-0.06976867757344249,-0.1170066635,-0.0219912426,Progressive actions,-,0.06976867757344249,0.06895127882972481
per90_touch_in_box,Factor_2,0.19890201368105495,-0.07878699755,0.4742961065,Attacking output,+,0.19890201368105495,0.5168452400005986
per90_losses,Factor_2,0.13393497771500024,-0.2879809145,0.5535952024999999,Defending,+,0.13393497771500024,0.2034393235649853
per90_own_half_losses,Factor_2,-0.08670415397199992,-0.365260347,0.1941165955,Defending,-,0.08670415397199992,0.11964661871572604
per90_dangerous_own_half_losses,Factor_2,-0.1252635629103,-0.2038167385,-0.04392229810000001,Defending,-,0.1252635629103,0.21832128762867023
per90_recoveries,Factor_2,-0.20355502042199997,-0.3357296175,-0.06781655335000006,Defending,-,0.20355502042199997,0.5838904872428681
per90_opponent_half_recoveries,Factor_2,-0.01880367821249998,-0.6144665675000001,0.579572927,Defending,-,0.01880367821249998,0.019287774230724922
per90_dangerous_opponent_half_recoveries,Factor_2,0.05648582171749982,-0.462755129,0.5745444574999999,Defending,+,0.05648582171749982,0.021429044926108646
per90_interceptions,Factor_2,-0.16764247051017503,-0.28777664000000003,-0.04525947745000011,Defending,-,0.16764247051017503,0.4057861867579229
per90_clearances,Factor_2,-0.16159099611467048,-0.365414329,0.04185406449999999,Defending,-,0.16159099611467048,0.3395146278947047
per90_shots_blocked,Factor_2,-0.14777963309722503,-0.2412606705,-0.05429881120000002,Defending,-,0.14777963309722503,0.28421033149063163
per90_defensive_duels,Factor_2,-0.05473917193999991,-0.5072176155,0.401585038,Dueling,-,0.05473917193999991,0.062490186124012165
per90_offensive_duels,Factor_2,0.2023846693974999,-0.2777518645,0.6778415775000001,Dueling,+,0.2023846693974999,0.49105599410727147
per90_aerial_duels,Factor_2,0.04058196785550005,-0.15744400449999998,0.237262047,Dueling,+,0.04058196785550005,0.042579590833649386
per90_pressing_duels,Factor_2,0.13343010033535152,-0.01694759564999999,0.285170331,Dueling,+,0.13343010033535152,0.24082422782266835
per90_loose_ball_duels,Factor_2,0.10201321669892496,-0.1167510675,0.31892118499999994,Dueling,+,0.10201321669892496,0.14862825833333812
per90_sliding_tackles,Factor_2,-0.05936127181525005,-0.253784406,0.1363892419999999,Defending,-,0.05936127181525005,0.054990691894589126
per90_dribbles_against,Factor_2,-0.08304216997750027,-0.4594147569999999,0.29844140899999994,Defending,-,0.08304216997750027,0.12845432848118862
rate_defensive_duels_won,Factor_2,-0.09026380827,-0.1273870545,-0.05309745175000001,Defending,-,0.09026380827,0.11354213915563102
rate_offensive_duels_won,Factor_2,-0.08154328633918205,-0.2016206145,0.03799427149999998,Dueling,-,0.08154328633918205,0.09589715464842365
rate_aerial_duels_won,Factor_2,-0.13636086472249953,-0.6231362685,0.3547748175,Dueling,-,0.13636086472249953,0.20755587560032507
rate_dribbles_against_won,Factor_2,-0.07845636657621004,-0.186710693,0.02943441444999995,Defending,-,0.07845636657621004,0.0821268070287441
rate_successful_sliding_tackles,Factor_2,-0.032817803514098,-0.06280165445000001,-0.001735817735,Defending,-,0.032817803514098,0.015475549624587966
per90_fouls,Factor_2,0.04880475352799997,-0.1865739675,0.28354417699999995,Discipline,+,0.04880475352799997,0.03223972855708887
per90_fouls_suffered,Factor_2,0.12516448580000036,-0.322497318,0.5693028199999999,Discipline,+,0.12516448580000036,0.17912655990452328
per90_yellow_cards,Factor_2,-0.02942198231730002,-0.139674502,0.0820515635,Discipline,-,0.02942198231730002,0.012183481828386673
