player_id,player_index,n_observed_seasons,first_season_index,last_season_index,span_seasons,n_missing_within_span,has_gap,gap_count,recurrence_class
41339,586,1,9,9,1,0,FALSE,0,one-season
41363,587,7,4,10,7,0,FALSE,0,consecutive-repeat
42183,588,2,2,3,2,0,FALSE,0,consecutive-repeat
43051,589,2,3,4,2,0,FALSE,0,consecutive-repeat
48354,590,1,8,8,1,0,FALSE,0,one-season
50102,591,1,4,4,1,0,FALSE,0,one-season
50213,592,1,2,2,1,0,FALSE,0,one-season
51004,593,4,1,4,4,0,FALSE,0,consecutive-repeat
51217,594,1,8,8,1,0,FALSE,0,one-season
55224,595,5,8,12,5,0,FALSE,0,consecutive-repeat
55968,596,4,5,9,5,1,TRUE,1,repeated-with-gap
55990,597,1,8,8,1,0,FALSE,0,one-season
56009,598,2,3,4,2,0,FALSE,0,consecutive-repeat
56025,599,3,1,4,4,1,TRUE,1,repeated-with-gap
56408,600,2,7,8,2,0,FALSE,0,consecutive-repeat
57347,601,1,3,3,1,0,FALSE,0,one-season
69403,602,1,1,1,1,0,FALSE,0,one-season
69404,603,3,2,4,3,0,FALSE,0,consecutive-repeat
69409,604,4,3,8,6,2,TRUE,1,repeated-with-gap
69513,605,7,6,12,7,0,FALSE,0,consecutive-repeat
69610,606,3,2,5,4,1,TRUE,1,repeated-with-gap
70083,607,2,2,3,2,0,FALSE,0,consecutive-repeat
70085,608,2,3,6,4,2,TRUE,1,repeated-with-gap
70086,609,1,1,1,1,0,FALSE,0,one-season
70094,610,5,6,10,5,0,FALSE,0,consecutive-repeat
70096,611,3,1,3,3,0,FALSE,0,consecutive-repeat
70112,612,4,3,6,4,0,FALSE,0,consecutive-repeat
70120,613,2,4,5,2,0,FALSE,0,consecutive-repeat
70121,614,1,3,3,1,0,FALSE,0,one-season
70123,615,4,9,12,4,0,FALSE,0,consecutive-repeat
70125,616,6,1,8,8,2,TRUE,2,repeated-with-gap
70129,617,6,1,6,6,0,FALSE,0,consecutive-repeat
70136,618,3,5,8,4,1,TRUE,1,repeated-with-gap
70139,619,1,1,1,1,0,FALSE,0,one-season
70140,620,6,1,6,6,0,FALSE,0,consecutive-repeat
70159,621,1,2,2,1,0,FALSE,0,one-season
70164,622,1,2,2,1,0,FALSE,0,one-season
70235,623,1,1,1,1,0,FALSE,0,one-season
70315,624,1,1,1,1,0,FALSE,0,one-season
70327,625,2,1,2,2,0,FALSE,0,consecutive-repeat
70391,626,2,1,5,5,3,TRUE,1,repeated-with-gap
70451,627,5,1,5,5,0,FALSE,0,consecutive-repeat
70507,628,4,4,7,4,0,FALSE,0,consecutive-repeat
70767,629,2,2,3,2,0,FALSE,0,consecutive-repeat
70956,630,1,5,5,1,0,FALSE,0,one-season
70975,631,1,2,2,1,0,FALSE,0,one-season
71004,632,1,1,1,1,0,FALSE,0,one-season
71057,633,1,1,1,1,0,FALSE,0,one-season
71911,634,1,6,6,1,0,FALSE,0,one-season
71997,635,1,3,3,1,0,FALSE,0,one-season
85113,636,1,3,3,1,0,FALSE,0,one-season
86183,637,5,3,7,5,0,FALSE,0,consecutive-repeat
86198,638,1,7,7,1,0,FALSE,0,one-season
86200,639,2,2,3,2,0,FALSE,0,consecutive-repeat
86220,640,3,3,5,3,0,FALSE,0,consecutive-repeat
86234,641,3,1,3,3,0,FALSE,0,consecutive-repeat
86239,642,4,5,8,4,0,FALSE,0,consecutive-repeat
86298,643,1,8,8,1,0,FALSE,0,one-season
86307,644,4,1,4,4,0,FALSE,0,consecutive-repeat
86325,645,3,5,7,3,0,FALSE,0,consecutive-repeat
86328,646,5,2,10,9,4,TRUE,1,repeated-with-gap
86338,647,5,6,10,5,0,FALSE,0,consecutive-repeat
86507,648,2,6,9,4,2,TRUE,1,repeated-with-gap
86517,649,2,5,6,2,0,FALSE,0,consecutive-repeat
86548,650,1,2,2,1,0,FALSE,0,one-season
86623,651,2,1,2,2,0,FALSE,0,consecutive-repeat
86716,652,4,1,4,4,0,FALSE,0,consecutive-repeat
86737,653,1,6,6,1,0,FALSE,0,one-season
86796,654,2,7,8,2,0,FALSE,0,consecutive-repeat
86800,655,1,8,8,1,0,FALSE,0,one-season
86828,656,1,4,4,1,0,FALSE,0,one-season
86882,657,2,1,2,2,0,FALSE,0,consecutive-repeat
88642,658,6,5,11,7,1,TRUE,1,repeated-with-gap
88969,659,1,5,5,1,0,FALSE,0,one-season
89073,660,4,7,10,4,0,FALSE,0,consecutive-repeat
89133,661,3,7,9,3,0,FALSE,0,consecutive-repeat
89550,662,2,2,3,2,0,FALSE,0,consecutive-repeat
89700,663,4,1,9,9,5,TRUE,1,repeated-with-gap
89712,664,1,3,3,1,0,FALSE,0,one-season
90774,665,3,7,9,3,0,FALSE,0,consecutive-repeat
91064,666,2,3,4,2,0,FALSE,0,consecutive-repeat
91268,667,1,1,1,1,0,FALSE,0,one-season
91282,668,1,2,2,1,0,FALSE,0,one-season
91519,669,1,1,1,1,0,FALSE,0,one-season
