player_index,player_id,player_name,n_seasons,pc1_score,pc2_score,pc3_score,pc,direction,rank_within
292,4336,T. Gayoso Roberto,2,2.2679024886840753,5.792349573182668,3.391465565763774,PC2,top,16
436,8287,L. Modrić,11,0.2686731555514711,5.757324575726768,3.2371270521252007,PC2,top,17
786,213948,R. De Paul,6,-0.5280548203222503,5.737509827108813,1.3197771550278767,PC2,top,18
1488,770398,Lamine Yamal,3,-7.2195913074549924,5.715185013341942,1.303915624742931,PC2,top,19
441,8320,S. Nasri,1,-1.9822484473922537,5.64502103855725,3.669365884448795,PC2,top,20
190,3714,C. Stuani,6,-5.600413946653033,-7.214659297064876,1.2447818412936538,PC2,bottom,1
1475,743536,A. Véliz,1,-3.5561248105601413,-7.187394710001479,-0.5170817634828481,PC2,bottom,2
1272,534083,Chris Ramos,2,-5.438962549121538,-7.046578997196023,-1.090138904115924,PC2,bottom,3
605,69513,A. Budimir,7,-5.61247122041617,-6.565391884398662,0.14889575819207235,PC2,bottom,4
195,3780,Manucho Gonçalves,2,-3.9988505487159256,-6.36240198517992,1.492229319703367,PC2,bottom,5
1322,558779,Juanmi Latasa,3,-5.424852862670873,-6.278389951887446,-0.6708849725649939,PC2,bottom,6
1166,447821,Y. En-Nesyri,7,-5.410654480751637,-6.153275362723443,0.19488777257391596,PC2,bottom,7
452,14763,S. Okazaki,1,-4.250713627871754,-6.134899764907483,0.18199138491903794,PC2,bottom,8
988,338201,E. Boateng,2,-5.2642786664686,-6.0926122559662375,0.7120709856393608,PC2,bottom,9
1415,633438,B. Yıldırım,1,-4.499430965224663,-6.083676891776374,-1.7516596488976504,PC2,bottom,10
642,86239,G. Carrillo,4,-4.10746483287128,-5.830221406200257,1.0254520078443015,PC2,bottom,11
1467,713837,Diego García,1,-5.225122014722118,-5.80769289771665,-0.36835715493818155,PC2,bottom,12
985,336517,A. Dovbyk,1,-6.890864459370228,-5.687289186737507,2.0476035337919316,PC2,bottom,13
975,329064,C. Larin,3,-6.078941093325555,-5.665454950555114,-0.1002956831299704,PC2,bottom,14
388,6165,F. Andone,3,-6.658192611002229,-5.643615483280893,-0.2132763495587253,PC2,bottom,15
826,238564,S. Weissman,2,-4.98165938684344,-5.620364937629488,0.04564384667803634,PC2,bottom,16
1058,364845,Rafa Mir,6,-5.3744948254249145,-5.5552609610208155,0.4480312283558478,PC2,bottom,17
1508,814737,Samu Omorodion,1,-6.246601141012145,-5.52560669250521,0.7535221242219997,PC2,bottom,18
951,291231,Toni Martínez,2,-4.51374897759377,-5.477782535854838,-0.5496803404774583,PC2,bottom,19
165,3651,Abdón Prats,4,-4.860521586390227,-5.475566681518404,0.3149191143257133,PC2,bottom,20
63,3359,L. Messi,7,-7.945587407389555,7.193618203184952,6.186470835353133,PC3,top,1
58,3352,Xavi,1,2.0181072858211486,7.322456428872753,5.706863746890722,PC3,top,2
475,20443,M. Pjanić,1,2.5777128456722416,5.922482658458973,5.252272629984165,PC3,top,3
39,3322,Cristiano Ronaldo,4,-7.508229515490691,-0.9140549525505144,5.048177491468085,PC3,top,4
38,3321,K. Benzema,9,-6.136643859576393,0.19445825193890648,4.559235841281513,PC3,top,5
447,14723,T. Kroos,10,2.37097154760074,6.220958914987725,4.1486834411995615,PC3,top,6
857,255256,Arthur,3,1.0836936163396353,4.690660191952948,4.088603170137457,PC3,top,7
59,3353,Andrés Iniesta,4,0.6820759141398223,6.790524030100277,3.9399957686631266,PC3,top,8
735,135103,A. Christensen,3,4.526355960718535,0.36522761709632806,3.9101363018320563,PC3,top,9
577,40550,Paulinho,1,-1.4607012236983448,1.0158161170222122,3.8968140379068736,PC3,top,10
453,14808,İ. Gündoğan,1,-1.024484540639331,4.23444845417945,3.8951465132606087,PC3,top,11
1490,773942,Pau Cubarsí,3,5.864128655956911,1.3236263033644111,3.7610751519182966,PC3,top,12
64,3360,Pedro,1,-5.266429629778451,4.109495535147157,3.7312535542226413,PC3,top,13
441,8320,S. Nasri,1,-1.9822484473922537,5.64502103855725,3.669365884448795,PC3,top,14
205,3802,Philippe Coutinho,4,-4.376302307801478,4.580718406974206,3.647172906342769,PC3,top,15
1073,373410,F. de Jong,7,1.2298884552466216,5.02130793011483,3.628385441633935,PC3,top,16
433,8200,S. Nzonzi,3,3.4455971972578756,1.701902659953152,3.522905810263317,PC3,top,17
611,70096,J. Rodríguez,3,-2.735001143938509,6.740656366268297,3.4595638884436055,PC3,top,18
583,40810,Neymar,3,-8.509078602703607,6.566794337437423,3.4520367706134776,PC3,top,19
431,7972,L. Suárez,8,-6.804841036590448,-0.6140884231291466,3.42489654109816,PC3,top,20
912,279555,Iván Alejo,5,-3.7648837247816314,1.2571235222905297,-5.0279512546003025,PC3,bottom,1
1097,395134,Juan Iglesias,6,1.2465976411608564,0.23241205125759912,-4.4250742203121085,PC3,bottom,2
687,101948,O. Vranješ,1,4.674199893126734,-1.8193562236062906,-4.270699171659289,PC3,bottom,3
1084,381233,Houboulang Mendes,1,1.0925915231384629,0.5283791187816156,-4.03071262240197,PC3,bottom,4
413,7072,Quini,5,2.3382426012840964,-0.33139779390825175,-3.944515167343964,PC3,bottom,5
961,297921,Pacha,5,1.7965788644258216,1.456351220598332,-3.938456437489294,PC3,bottom,6
1487,770391,A. Aznou,1,1.305125278941494,0.6415047203481176,-3.887718565378568,PC3,bottom,7
1435,657882,Rubén Sánchez,1,-0.1891445825687304,1.6788463084107064,-3.8657089991476536,PC3,bottom,8
1457,700268,L. Blanco,1,-0.7639314595037143,3.878531657078626,-3.6835779836739384,PC3,bottom,9
1353,584914,Jesús Vázquez,4,0.15046801807876947,-0.3711572509486881,-3.6253808889902723,PC3,bottom,10
286,4288,S. Dubarbier,1,2.532220581872326,0.5067694548198409,-3.6039986711588847,PC3,bottom,11
1367,593803,Carlos Romero,2,0.38024207098600105,0.8233439218122234,-3.552590989927088,PC3,bottom,12
1283,542945,Óscar Gil,2,0.9167827919767202,-0.3089133668461706,-3.5446054295789313,PC3,bottom,13
1306,551442,Pedro Porro,2,0.38827293947305713,3.2793370470892858,-3.5211130963292843,PC3,bottom,14
1109,400544,Miguel Llambrich,1,1.083645255046683,1.4265517833595884,-3.5044760252697236,PC3,bottom,15
1080,375771,M. Olivera,4,0.5670530433334653,-0.34258060276920976,-3.430117764741858,PC3,bottom,16
675,93000,Antunes,2,1.4831658783890163,0.9728678943758925,-3.429985568460708,PC3,bottom,17
1074,373541,Aitor Buñuel,1,1.5878680211847618,1.6599419230768542,-3.4237892288921086,PC3,bottom,18
741,135919,Hélder Costa,1,-3.354278135974906,0.902111943588298,-3.374948508078774,PC3,bottom,19
