player_id,player_name,Attacking output,Shooting rates,Passing volume,Passing quality,Progressive actions,Defending,Dueling,Discipline,pc1_score,pc2_score,pc3_score,n_seasons
1751,O. Tannane,85.28449967298887,75.86657946370177,49.64028776978417,39.5029431000654,93.13276651406149,23.93721386527142,64.61739699149771,30.608240680183123,-4.4695750347017995,-2.4205404939669815,-0.07696929171904539,1
3269,Jordi Alba,83.38783518639634,27.468933943754088,99.34597776324395,86.59254414650098,31.654676258992804,53.49901896664486,0.7194244604316548,70.11118378024854,2.25181044675928,-5.136328805591663,-1.6738490150986085,9
3270,Barragán,34.66317854807063,3.8587311968606928,78.15565729234794,64.55199476782211,28.253760627861347,57.29234793982996,22.825376062786134,15.173315892740352,2.604385053708042,-1.0798692374526226,0.523447351204496,7
3274,J. Mathieu,25.572269457161546,35.31720078482669,86.98495748855461,98.75735775016351,23.610202746893393,81.75277959450621,15.369522563767168,91.30150425114454,5.103933585506253,-0.25467701405234716,-2.6330236451891382,3
3275,Ricardo Costa,7.7174623937213855,49.31327665140615,22.171353826030085,90.32047089601046,0.9156311314584695,84.95748855461086,0.5886200130804448,31.06605624591236,4.589817383918638,3.662757937763901,-1.7698882254667707,1
3276,A. Rami,6.344015696533682,25.703073904512753,46.43557880967953,82.14519293655984,5.297580117724002,79.92151733158927,9.548724656638326,61.02027468933944,5.021099944719379,2.3014429142533364,-1.1614257354401003,2
3277,Víctor Ruíz,6.736429038587312,10.987573577501635,55.52648790058862,86.06932635709614,13.472858077174624,91.69391759319817,13.66906474820144,57.68476128188358,5.982620390280067,1.7386950667220136,-1.2442667340829052,8
3280,É. Banega,71.026814911707,61.93590582079791,99.67298888162198,80.70634401569653,81.6873773708306,38.194898626553304,74.03531720078482,16.612164813603663,0.4386751443357014,-6.4948041790232,-2.2191037189796616,5
3281,Juan Bernat,61.28188358404185,46.82799215173316,25.506867233485934,24.19882275997384,71.55003270111185,42.249836494440814,74.49313276651407,71.41922825376062,-1.46848765956017,-0.13101154374394458,2.143984974510851,1
3282,Sergio Canales,86.46173969914977,71.09221713538261,93.5251798561151,74.23152387181165,90.05886200130804,25.833878351863966,9.61412688031393,89.33943754087639,-3.088525568276942,-4.296355076226599,-2.058016437741496,9
3284,S. Feghouli,93.72138652714193,77.17462393721387,79.85611510791367,24.787442773054284,73.83911052975802,16.546762589928058,64.35578809679528,62.26291693917593,-3.8871178710036274,-2.08946694861784,-1.0199040916821562,2
3285,Pablo Hernández,79.72531066056246,64.4865925441465,94.57161543492478,55.59189012426422,77.89404839764552,39.11052975801177,25.11445389143231,94.57161543492478,-1.1601830536907942,-4.315422064277348,-1.0398017940684774,1
3286,Dani Parejo,53.956834532374096,61.60889470241988,96.92609548724657,92.54414650098103,38.32570307390451,55.06867233485938,65.59843034663179,73.7083060824068,1.9826825642131929,-3.732877841149571,-2.390049650095104,11
3287,Portu,94.50621321124918,76.12818835840417,14.780902550686722,14.58469587965991,71.28842380640941,15.892740353172009,36.23283191628515,55.00327011118378,-5.028784792600525,0.9704084187664256,0.44962819430940704,9
3290,Aritz Aduriz,86.06932635709614,99.47678221059516,5.5591890124264225,9.156311314584697,36.03662524525834,0.5232177894048398,45.97776324395029,14.126880313930673,-6.316993305422849,4.9621424600076045,-2.369537515297373,5
3291,Paco Alcácer,93.5251798561151,96.40287769784173,8.04447351209941,40.941792020928716,12.884238064094177,10.39895356442119,0.06540222367560497,99.80379332897319,-5.246471447714167,3.2670271016611543,-2.181971820714407,7
3293,P. Piatti,81.88358404185743,68.60693263570961,36.8214519293656,21.124918247220407,72.98888162197514,23.80640941792021,82.34139960758667,54.807063440156966,-3.7657138548149063,-1.1972644271374893,1.5387187687435784,5
3294,Roberto Soldado,88.48920863309353,89.79725310660562,14.715500327011119,13.342053629823415,21.0595160235448,7.1288423806409416,26.74950948332243,3.4009156311314586,-5.131195551185554,2.502005094833333,-1.037464837297155,5
