feature,icc_player,icc_player_q5,icc_player_q95,icc_season,icc_season_q5,icc_season_q95,icc_residual,icc_residual_q5,icc_residual_q95
per90_shot_assists,0.742435315,0.7226145075,0.7594878534999999,0.011412055,0.00552806978,0.02820407539999996,0.244661235,0.2296793305,0.2601986725
per90_fouls_suffered,0.73053419,0.7052937005,0.7497568414999999,0.020231736,0.009757512605,0.04674788614999998,0.247446095,0.2297792025,0.264848853
per90_progressive_run,0.72359687,0.6840825259999999,0.74868944,0.04097289299999999,0.0208663911,0.09051452534999992,0.23259409,0.2125863705,0.2512380425
per90_opponent_half_recoveries,0.6885185199999999,0.6674375459999999,0.708809379,0.00512781705,0.002139457685,0.01326615399999999,0.30540736,0.285609135,0.32575662299999997
per90_head_shots,0.679273545,0.6597472635,0.698682688,4.0945078e-4,6.754394505e-6,0.00236474847999999,0.32002798499999996,0.3003414045,0.3393213205
per90_defensive_duels,0.676425815,0.6062859875,0.7138816695,0.095643404,0.05157417629999999,0.19020293399999985,0.22633808,0.200881123,0.2473269255
rate_aerial_duels_won,0.6640324049999999,0.6430094479999999,0.6849045655,0.0050644633,0.002135310435,0.01347572779999998,0.330003045,0.30899109150000004,0.3504324905
per90_losses,0.644370375,0.5748083150000001,0.6805560724999999,0.0913466435,0.04940058005,0.18516928399999985,0.26151702499999996,0.231516576,0.28372107199999996
per90_dribbles_against,0.6432182399999999,0.55739148,0.689640798,0.13533425,0.07901723424999998,0.24816412299999996,0.219533325,0.189419875,0.24103819449999997
per90_goals,0.641772585,0.6202773755,0.663240627,0.0012502471,1.39673136e-4,0.00423887813499998,0.356436615,0.3350205045,0.3781259605
per90_key_passes,0.633063685,0.6116232845,0.6530411580000001,0.00337450745,0.001270854525,0.00959906513999999,0.362954705,0.3429809055,0.3834969545
per90_xg_assist,0.631666925,0.6107032935,0.652453129,0.00584889405,0.002650947225,0.014550293699999991,0.36174381,0.3406539885,0.381662916
per90_fouls,0.6201230950000001,0.5889062285000001,0.6447419339999999,0.02920991149999999,0.0145442807,0.06536352879999996,0.34795826,0.324284923,0.3712655845
per90_loose_ball_duels,0.601900215,0.511966198,0.6543428179999999,0.14970698,0.08468122365,0.27879447099999993,0.246310235,0.2083241905,0.272088718
per90_accelerations,0.5976293500000001,0.514880553,0.6457115595,0.138168605,0.07862349889999999,0.258378842,0.26145242,0.2242733005,0.28747504199999996
per90_shots_blocked,0.586675905,0.5625334895,0.610189286,0.0110294505,0.00515544848,0.0259539312,0.40049526,0.377530665,0.42390212
per90_sliding_tackles,0.5645604099999999,0.488392852,0.6081350495,0.115660135,0.06130943424999999,0.227392257,0.316351005,0.27542188349999996,0.347070416
per90_through_passes,0.495162875,0.422474764,0.5401825769999999,0.14122420000000002,0.07677392375,0.267107224,0.36150675,0.306292131,0.396211785
per90_own_half_losses,0.486201285,0.45777239899999994,0.5139025524999999,0.0239869595,0.0119091939,0.05593951464999999,0.486984685,0.45787898349999995,0.5142061375
rate_offensive_duels_won,0.473679055,0.445077476,0.500637347,0.019221093,0.00914890295,0.04502251945,0.50394492,0.47590897550000005,0.5318640275000001
per90_pressing_duels,0.442931975,0.3348596445,0.5174865504999999,0.306435625,0.195067558,0.47515230099999994,0.250197595,0.1882292925,0.29485594149999994
per90_smart_passes,0.39623957,0.27900554349999995,0.49401847599999993,0.43598708,0.30044275200000004,0.6049459154999999,0.16594649,0.1160929265,0.208227207
per90_dangerous_own_half_losses,0.389092785,0.36283218,0.4153728189999999,0.01260706149999999,0.005643493485,0.03217756734999998,0.5962160599999999,0.5686181585000001,0.6236517595
rate_successful_progressive_passes,0.38569713,0.341042429,0.417917646,0.09002475600000001,0.04991039615,0.18560158349999997,0.52014656,0.4619431475,0.55791792
per90_yellow_cards,0.363937725,0.333294154,0.3923884375,0.018647296,0.0084397041,0.04550474545,0.6148274899999999,0.5840067624999999,0.6454043395
rate_defensive_duels_won,0.3576005,0.29227006999999994,0.403013491,0.196878635,0.114944573,0.33808818199999985,0.44313923,0.3641729315,0.4955970995
per90_dangerous_opponent_half_recoveries,0.34808169,0.3212636955,0.3754095509999999,0.0059384605,0.002335702995,0.0161790325,0.64473282,0.6166650475,0.672230378
per90_assists,0.32851884,0.30344204500000005,0.3540151705,0.00841028575,0.00371031328,0.02148226984999999,0.661468195,0.636108253,0.6864053305
rate_successful_dribbles,0.296365535,0.2685017055,0.3250882565,0.0141506695,0.00603797137,0.03621750524999997,0.687011555,0.6552906319999999,0.7169026645000001
