feature_k,feature_l,obs_corr,pred_corr,pred_lo,pred_hi
per90_offensive_duels,per90_xg_assist,0.574640534019249,0.5614594802703264,0.5379583159244553,0.5834861174359407
per90_aerial_duels,per90_xg_assist,-0.3027572500282076,-0.2598166603103453,-0.28854213618239277,-0.22996439998179913
per90_pressing_duels,per90_xg_assist,0.257572274476399,0.25687094653143056,0.22082238315018815,0.28939607651129873
per90_loose_ball_duels,per90_xg_assist,0.023050189386408317,0.06936363201444616,0.04219652875502466,0.10013133785153178
per90_sliding_tackles,per90_xg_assist,-0.14424453653702546,-0.13122061044981997,-0.16149312684296563,-0.10256381595867603
per90_dribbles_against,per90_xg_assist,-0.11347250337405748,-0.10082566489489006,-0.13086116432781145,-0.07016488689264669
rate_defensive_duels_won,per90_xg_assist,-0.28636830567273686,-0.2725062830976514,-0.30158096461453915,-0.23914957933583098
rate_offensive_duels_won,per90_xg_assist,-0.04725380073013834,-0.05200396313368529,-0.08067752867198653,-0.02388823728395522
rate_aerial_duels_won,per90_xg_assist,-0.44993603461854415,-0.451351366528241,-0.47328415138661706,-0.4272704350169334
per90_fouls,per90_xg_assist,-0.07659125727581384,-0.014682016050486095,-0.04572188709524147,0.017277667173238562
per90_fouls_suffered,per90_xg_assist,0.35962953712144746,0.39882698119723364,0.37143194916681327,0.4235459664611513
per90_yellow_cards,per90_xg_assist,-0.1673274355240917,-0.14591437233550106,-0.16981769222650986,-0.11829720976706583
per90_head_shots,per90_shots,0.40125020307436443,0.1400651486765995,0.11053002971864129,0.1730820050030302
per90_received_pass,per90_shots,-0.2696378100713531,-0.3158754099896698,-0.34595815799666246,-0.28467773017090897
per90_passes,per90_shots,-0.38606141487155754,-0.420602115290691,-0.4459620890384153,-0.3912858240374234
per90_forward_passes,per90_shots,-0.6228838931477415,-0.6263005405485679,-0.645609597931697,-0.6053015208239372
per90_back_passes,per90_shots,0.337645285942751,0.3496577557065887,0.3211273998601172,0.3750005858872186
per90_lateral_passes,per90_shots,-0.41774561085924317,-0.48295605304971617,-0.5075560270727252,-0.4582341697123961
per90_long_passes,per90_shots,-0.5669351053317198,-0.6046690247755775,-0.623467170014675,-0.5851038904848623
per90_smart_passes,per90_shots,0.41609838487391054,0.31715060059592737,0.25886909284935355,0.36286901866407767
per90_progressive_passes,per90_shots,-0.5385928246946952,-0.5241770853425536,-0.5492256251557229,-0.49772631252545124
per90_passes_to_final_third,per90_shots,-0.32553365201997475,-0.4122603425761932,-0.43866101063803825,-0.38539925419571724
per90_key_passes,per90_shots,0.47192917075132673,0.47807402158154194,0.4540162217784838,0.5012203943877391
per90_through_passes,per90_shots,0.28942413744191153,0.14671149290200164,0.11884445450285679,0.17602135391139997
per90_crosses,per90_shots,0.27821755015215965,0.38137173545667735,0.35518835914799235,0.4079372012381531
per90_shot_assists,per90_shots,0.5321445670956532,0.5116121923186525,0.488341917696795,0.5366337858350267
rate_successful_passes,per90_shots,-0.36802632966425286,-0.39627095990388495,-0.4233022871216865,-0.3700488001007674
rate_successful_progressive_passes,per90_shots,0.10129294650395895,0.03914954063305376,0.011399467030476656,0.06680017303415722
per90_dribbles,per90_shots,0.5944263468758701,0.5652982696265388,0.5262396783586398,0.5941361277332486
per90_progressive_run,per90_shots,0.34595791628818434,0.3764393000729409,0.35083876655649016,0.40340194716109906
per90_accelerations,per90_shots,0.3226486339857966,0.35321507857464524,0.3181643801306318,0.38345895027550836
rate_successful_dribbles,per90_shots,-0.1595094023387558,-0.21135325969703128,-0.23453268543989744,-0.1882554643170298
per90_touch_in_box,per90_shots,0.8014047570185888,0.6498235307002003,0.6330679550885834,0.6663030962413758
per90_losses,per90_shots,0.4875921571345194,0.41775876867458417,0.38738124017202547,0.4432541678031249
per90_own_half_losses,per90_shots,-0.45591880953718666,-0.41623901108261213,-0.4370004100811487,-0.39393618745730724
per90_dangerous_own_half_losses,per90_shots,-0.46328975109053466,-0.4589159705244022,-0.47677778901907164,-0.44007633361396414
per90_recoveries,per90_shots,-0.7352302055015574,-0.7132213529183602,-0.7281311480572039,-0.6971761601132854
per90_opponent_half_recoveries,per90_shots,-0.02667846297834768,-0.05334940515249796,-0.08495964282817112,-0.0242990275701779
per90_dangerous_opponent_half_recoveries,per90_shots,0.2985403283626186,0.2093244717049568,0.18684016559449004,0.23382477718311262
per90_interceptions,per90_shots,-0.6792311030212428,-0.6401093829082548,-0.6617947128869778,-0.6185516043755335
per90_clearances,per90_shots,-0.6645946172945261,-0.6422874876728081,-0.6602686025926432,-0.6243293283058532
