param,mean,sd,q05,q50,q95,ess_bulk,rhat
Lambda_a.8.2,0.3079931780375,0.02959424081540307,0.256523522,0.309095905,0.35538227199999994,133.73876797860396,1.0030981030301072
Lambda_a.9.2,0.08128306936232,0.025263472336482216,0.03845267205,0.08184238099999999,0.1214413385,153.93818434837956,1.0029912336317826
Lambda_a.10.2,0.679367232775,0.02091994930301113,0.6457423699999999,0.67891393,0.7140047070000001,361.2436465998145,1.0038407576909487
Lambda_a.11.2,0.094945323884675,0.03068509830206037,0.0423516211,0.095843969,0.14402886449999996,129.60010293997038,1.0012715231490927
Lambda_a.12.2,-0.0106473110838229,0.022285609453901532,-0.04779340955,-0.010482680500000001,0.026028489949999994,232.25008986679538,1.0013491054253165
Lambda_a.13.2,0.4812709170125,0.01522507388255638,0.45664665050000003,0.48079579,0.5066096435,595.2562821652434,1.0024023945763882
Lambda_a.14.2,0.2699771872975,0.021888673961555073,0.232918017,0.27032628000000003,0.3064054255,190.76067014668152,1.004147870910971
Lambda_a.15.2,0.19039994898,0.025723772622378863,0.147249224,0.19050213,0.2318792005,183.74697631901927,1.0021608583318737
Lambda_a.16.2,0.68653654397,0.017231615266052474,0.657792172,0.686259695,0.715179429,454.69732027832407,1.0015085415676386
Lambda_a.17.2,0.45804096693,0.02086048647614336,0.42301934350000003,0.45818558,0.49201211500000003,420.4232296097034,1.0009676598525634
Lambda_a.18.2,0.7616298597,0.023589751325073897,0.722931585,0.76159329,0.8010249469999999,193.8876463370725,1.0013254472725441
Lambda_a.19.2,0.7577848957875,0.01715570598817619,0.7303746215,0.75745693,0.7867457884999999,444.9383541174836,1.0038813227853947
Lambda_a.20.2,-0.16238482509899999,0.030863146460132173,-0.214920839,-0.161809445,-0.11176836450000001,136.77171186018342,1.0000962261121196
Lambda_a.21.2,0.352889415665,0.020125324688914405,0.3194711595,0.35345977500000003,0.384617305,268.1193521593919,1.0006936596378897
Lambda_a.22.2,0.68142927043,0.02152497842006658,0.6464294905,0.681671065,0.717795503,257.37010522198216,1.0010143364626893
Lambda_a.23.2,0.594901104925,0.019520300276280822,0.5633054145,0.594566205,0.6271464945,552.1514791683984,1.0027722340023002
Lambda_a.24.2,0.5337587054575,0.018709196501809727,0.5035252295,0.533700525,0.564469574,516.0386031181341,1.0012551538686074
Lambda_a.25.2,-0.0722305514069,0.019377416985849966,-0.10394611100000001,-0.072298478,-0.0403202447,438.69327284473974,1.0001998757867705
Lambda_a.26.2,0.18933908313,0.019055696260166212,0.15794201400000002,0.189153515,0.22068229150000002,289.1213209101658,1.0010234380181897
Lambda_a.27.2,0.358388527725,0.024069754936152935,0.32090033300000004,0.35790729,0.3985266324999999,232.12582333115503,1.0005921062583059
Lambda_a.28.2,-0.11398383400325,0.01906241874452401,-0.1457180005,-0.11398895,-0.08256161365,575.3344857525304,1.0003447715944773
Lambda_a.29.2,-0.2712523564425,0.01726231575674967,-0.3002833265,-0.270922235,-0.24348261750000003,460.84029882334545,1.0001262923483492
Lambda_a.30.2,-0.201261097085,0.02025000185263093,-0.235311238,-0.20090217,-0.168654735,210.99596714692936,1.0007127652469043
Lambda_a.31.2,0.3433504759825,0.02370104540318605,0.30478303650000005,0.342779645,0.3827503975,519.5783297125773,0.9999959883572553
Lambda_a.32.2,0.388399839365,0.018483365430560894,0.358232041,0.388281255,0.41889668049999995,1279.4676789482776,1.0011963142913
Lambda_a.33.2,-0.1941689898675,0.018310049384875963,-0.2244482635,-0.19394367,-0.16385312300000002,277.67723288746373,1.0013996069586748
Lambda_a.34.2,-0.461150044375,0.018580436516983316,-0.49137771350000004,-0.46129871,-0.431101917,384.84707412273696,1.0005222268114913
Lambda_a.35.2,-0.460153491245,0.02011354377609026,-0.49373720149999994,-0.45965763000000004,-0.42772758749999995,296.83217257766836,1.0004461392350719
Lambda_a.36.2,0.231050456415,0.021276613668318543,0.196714833,0.23102834,0.2662772614999999,450.79168270480477,1.0011803594473996
Lambda_a.37.2,0.515679620945,0.021294413712664523,0.481126219,0.5153622499999999,0.5507479265,244.61643261904987,1.0004478111942379
Lambda_a.38.2,-0.5435216827125,0.02035854638514039,-0.5770364915,-0.54336664,-0.5097818215,535.8563723710532,1.0033429084339283
Lambda_a.39.2,0.09672360520625,0.016659204517452023,0.0687516505,0.09654734649999999,0.12360596049999999,329.38843215269134,1.0017085797964318
Lambda_a.40.2,-0.1360953038345,0.022187355948625923,-0.171649632,-0.1368735,-0.09894154360000003,376.30360744272826,1.0025805921664965
Lambda_a.41.2,-0.0405332045852999,0.020509783511865186,-0.07325921205,-0.040509724,-0.006723362425000015,837.9983716844341,1.000953763487774
Lambda_a.42.2,0.2526375254,0.019434635820048864,0.220350924,0.25277906,0.28486296,373.5147600634958,1.0014947543163921
Lambda_a.43.2,-0.21323097028,0.019149516315984435,-0.2441679355,-0.213216675,-0.181905752,332.97001686415575,1.000549555002451
Lambda_a.44.2,0.15723276522725,0.019488072324545424,0.1254158135,0.15732523,0.18947386749999998,563.8542323388923,1.0014349873336328
Lambda_a.45.2,-0.4077998470475,0.02125146973609038,-0.442658961,-0.40712004999999996,-0.3737238145,381.234225743499,1.0007233873543921
Lambda_a.46.2,-0.07919544110702,0.024430233738197835,-0.120543869,-0.07882520900000001,-0.03995584120000003,708.7193574351962,1.0013255175657139
Lambda_a.47.2,0.364381028245,0.02253000363135769,0.32766166399999996,0.36451899,0.402018644,698.4502627753914,1.0001813903721666
Lambda_a.48.2,-0.12025830852525,0.020284824252515835,-0.15421478300000002,-0.120335895,-0.0869135826,2397.9397251872374,1.0001966887117648
Lambda_a.1.3,0,0,0,0,0,NA,NA
Lambda_a.2.3,0,0,0,0,0,NA,NA
Lambda_a.3.3,0.14075129524024999,0.012984222587316479,0.11917428349999999,0.14059436,0.16238462449999996,444.6094029447036,1.0016939413947987
