player_name,player_id,season_id,season_index,feature,eps_std,eps_raw,abs_std
Pere Milla,7693,191659,12,per90_head_shots,5.2524484277097505,2.6027648050827685,5.2524484277097505
Unai López,230863,8504,1,per90_smart_passes,5.250203378869182,2.3319149767020106,5.250203378869182
Carlos Martínez,3672,8504,1,per90_clearances,5.246522276184429,2.148529278115059,5.246522276184429
Sergio Álvarez,3821,9630,2,rate_successful_dribbles,-5.234627016148335,-4.895525243501749,5.234627016148335
G. Bale,8278,9630,2,per90_goals,5.218443866372286,3.033216797419163,5.218443866372286
Diego Mariño,3520,8504,1,rate_offensive_duels_won,-5.189901576390249,-3.7184940702617,5.189901576390249
Leo Román,542911,189974,11,rate_aerial_duels_won,-5.169306812850898,-2.9293610289324556,5.169306812850898
Miguel Torres,4003,181144,4,rate_successful_dribbles,-5.162152595520372,-4.827745752317787,5.162152595520372
A. Lozano,5147,185641,5,per90_head_shots,5.159180460998227,2.556547391520417,5.159180460998227
José Antonio Reyes,3477,10837,3,per90_smart_passes,-5.151942423243239,-2.2882716780497323,5.151942423243239
Raúl Torrente,694310,189012,10,rate_successful_dribbles,-5.1513680708903165,-4.81765985462102,5.1513680708903165
Jaume Doménech,215265,186267,7,rate_defensive_duels_won,5.1451018044922074,3.8359539855286746,5.1451018044922074
Sergio Asenjo,3428,10837,3,rate_successful_dribbles,-5.137983755792171,-4.805142582191138,5.137983755792171
A. Januzaj,261127,186267,7,per90_through_passes,5.114753512560468,3.1676946230452803,5.114753512560468
Álvaro Rodríguez,788748,191659,12,per90_aerial_duels,-5.111335660049961,-1.9642396719055617,5.111335660049961
F. Valverde,364005,187526,8,per90_accelerations,5.110100845276157,2.8497712956442767,5.110100845276157
T. Vermaelen,7860,185641,5,rate_successful_dribbles,-5.099687546060632,-4.769327220200144,5.099687546060632
Sabin Merino,167119,10837,3,per90_head_shots,5.088327750907773,2.521437491307922,5.088327750907773
Víctor Laguardia,4358,186267,7,rate_successful_dribbles,-5.083094246800245,-4.753808843217103,5.083094246800245
A. Christensen,135103,189012,10,rate_successful_dribbles,-5.080114314777216,-4.751021952690298,5.080114314777216
Adrián González,3705,10837,3,per90_xg_shot,5.0751134156959585,2.023294956799515,5.0751134156959585
É. Banega,3280,8504,1,per90_smart_passes,5.07084370355573,2.252251107914906,5.07084370355573
Imanol Agirretxe,3681,9630,2,per90_goals,5.070435560463542,2.947187074548532,5.070435560463542
F. Orellana,3843,10837,3,per90_dribbles,-5.069636309525922,-1.8129967107045726,5.069636309525922
M. Arambarri,286448,188124,9,rate_successful_dribbles,-5.069035496153344,-4.74066082551275,5.069035496153344
Aritz Elustondo,278288,10837,3,per90_head_shots,5.059123998120112,2.5069660498500563,5.059123998120112
T. Vermaelen,7860,185641,5,rate_offensive_duels_won,-5.043111409346374,-3.6133209070155057,5.043111409346374
M. Gómez,395636,189012,10,per90_loose_ball_duels,5.036597602859159,2.5316503426411856,5.036597602859159
Javi Rodríguez,879052,191659,12,rate_successful_dribbles,-5.010223619371066,-4.685658811707914,5.010223619371066
Aitor Fernández,6362,186267,7,rate_successful_dribbles,-5.003077398534412,-4.678975526653687,5.003077398534412
E. Pérez,86234,9630,2,per90_sliding_tackles,4.9918922963582615,2.965010627369266,4.9918922963582615
Hugo Sotelo,746346,191659,12,rate_successful_dribbles,-4.983999471726997,-4.6611334775466045,4.983999471726997
Denis Suárez,8323,9630,2,per90_smart_passes,4.979905134491472,2.2118600990609845,4.979905134491472
Aleix Vidal,4256,181144,4,per90_xg_shot,4.977542265658934,1.9843962761929914,4.977542265658934
Edu Expósito,499843,191659,12,per90_shot_assists,4.975683519661213,2.7041500988648344,4.975683519661213
Denis Suárez,8323,181144,4,per90_xg_assist,4.967999424422165,3.114020250478757,4.967999424422165
Unai Simón,344059,188124,9,rate_successful_dribbles,-4.958731184380707,-4.637502082571909,4.958731184380707
Koke,3443,8504,1,per90_smart_passes,4.9522869768386455,2.199593298936869,4.9522869768386455
Marc Bartra,3335,9630,2,per90_dangerous_own_half_losses,4.94994809866653,4.303478657680998,4.94994809866653
Raúl Asencio,787348,191659,12,rate_successful_dribbles,-4.943150242374819,-4.622930481830909,4.943150242374819
E. Mor,281255,181144,4,per90_crosses,4.941272184630742,1.879334276473364,4.941272184630742
Rubén García,225084,8504,1,per90_sliding_tackles,4.940295897224981,2.9343641585190126,4.940295897224981
K. Benzema,3321,9630,2,per90_goals,4.937227027318123,2.86975970910345,4.937227027318123
N. Krstičić,20618,10837,3,rate_goal_conversion,4.9304739081199696,4.538764115298084,4.9304739081199696
P. Gazzaniga,8992,191659,12,rate_offensive_duels_won,-4.916465248355387,-3.5225806508209083,4.916465248355387
A. Lozano,5147,185641,5,per90_fouls,4.906055081638088,3.019185838943496,4.906055081638088
NA,3565,8504,1,per90_smart_passes,4.87976086965985,2.1673803153003086,4.87976086965985
Dani Ceballos,326523,9630,2,per90_smart_passes,4.868039347670003,2.16217411837699,4.868039347670003
A. Danjuma,397060,187526,8,per90_xg_shot,4.867810700861121,1.9406496042525203,4.867810700861121
Andrés Fernández,3486,185641,5,rate_successful_dribbles,-4.866781465831815,-4.551508913068076,4.866781465831815
K. Benzema,3321,9630,2,per90_xg_shot,4.8656726297232895,1.939797219646282,4.8656726297232895
Ilaix Moriba,590503,186267,7,per90_head_shots,4.855618543597171,2.406122254434507,4.855618543597171
Sergio Rico,3458,10837,3,rate_successful_dribbles,-4.850233473162447,-4.536032907692285,4.850233473162447
Isco,3563,8504,1,per90_smart_passes,4.845210319008949,2.1520344437783767,4.845210319008949
Andrés Castrín,809746,191659,12,rate_successful_dribbles,-4.843153024774238,-4.52941113431419,4.843153024774238
Ferrán Torres,397303,191659,12,per90_xg_shot,4.841642326717417,1.9302170611552862,4.841642326717417
K. Benzema,3321,187526,8,per90_xg_shot,4.840989497697407,1.9299567978753067,4.840989497697407
T. Courtois,3429,188124,9,rate_defensive_duels_won,4.839799648037716,3.608334578111004,4.839799648037716
Rafa Marín,601275,191659,12,rate_successful_dribbles,-4.835298383331314,-4.522065320497109,4.835298383331314
Rodrigo Riquelme,471991,189974,11,per90_progressive_run,4.8319134231828045,2.452770614347544,4.8319134231828045
Vinícius Júnior,493295,185641,5,per90_accelerations,4.818206995052071,2.686989632242733,4.818206995052071
Rubén Peña,225948,185641,5,per90_progressive_passes,4.807505579785204,2.550567596018146,4.807505579785204
O. Dembélé,286390,187526,8,per90_xg_assist,4.798042741393258,3.0074887259269447,4.798042741393258
Miguel Torres,4003,181144,4,rate_offensive_duels_won,-4.793213240804142,-3.4342722595188273,4.793213240804142
C. Stuani,3714,188124,9,rate_successful_progressive_passes,-4.790931454025802,-3.9364666318125754,4.790931454025802
G. Mamardashvili,475709,188124,9,rate_successful_dribbles,-4.7903846740272025,-4.480061143886382,4.7903846740272025
Álex Suárez,519494,189974,11,rate_successful_dribbles,-4.789775564510414,-4.47949149279065,4.789775564510414
