query_player_name,neighbor_player_name,style_dist_mean,style_dist_q05,style_dist_q95,p_closest_neighbor,level_gap_mean,level_gap_q05,level_gap_q95
K. Benzema,L. Suárez,0.7257124270998243,0.47246117739171084,1.0328314307838005,0.11325,0.5464371781926591,0.16935536220942343,0.9473291592884949
K. Benzema,Cristiano Ronaldo,0.7621969899888669,0.3741620822530558,1.218386176010587,0.25025,1.2391515379337326,0.7069990397571668,1.754517103793255
K. Benzema,K. Mbappé,0.830033984300103,0.4749685961950412,1.2301710057789774,0.09725,0.5533508982614795,0.14320273140603892,1.089495543853558
K. Benzema,Ansu Fati,0.9702632850785844,0.44429501457084647,1.5164959272787644,0.06825,1.1431980856335726,0.6949862429475592,1.6287545907050316
K. Benzema,M. Depay,1.037571079745583,0.4852479100598319,1.597966396978374,0.04825,0.8454022316996403,0.37386641218017724,1.3703604450785414
K. Benzema,L. Vietto,1.073442473510358,0.6234903192385799,1.5497408602834493,0.0135,1.8209883049770212,1.3505307148248333,2.316423259234531
K. Benzema,A. Griezmann,1.1371995499296723,0.7540478903839279,1.5682365223791352,0.002,1.204472601650632,0.8643275709811102,1.5677816299896319
K. Benzema,G. Bale,1.2067237485732227,0.7222357370263727,1.6885226438955385,0.00375,1.274056012213476,0.840663438869382,1.7212133847990791
K. Benzema,Malcom,1.256635235574149,0.7585758757293298,1.8117742981458074,0.00475,2.3787001391652245,1.7749352829874971,2.966527086296364
L. Messi,Neymar,1.101683534479962,0.5979723380156419,1.6380000003763342,0.918,2.0155680303343213,1.4407924085327084,2.5861966841398254
L. Messi,Pedro,1.6879922905068199,1.2589368826494425,2.1268678756463917,0.049,2.778505998471881,2.1402810711020313,3.451574605501679
L. Messi,J. Rodríguez,1.738366392476811,1.3061694310580139,2.1961298636631534,0.013,3.4522119199978545,2.9241702169113024,3.9813542011955225
L. Messi,Philippe Coutinho,1.8178697422099528,1.4920174107082846,2.1589999210503823,0.00725,3.1518545292164357,2.607339097556888,3.6717720904455593
L. Messi,Jonathan Viera,1.8856374763317874,1.4647570111740462,2.334416780483137,0.00375,3.850635562660986,3.364924960520083,4.327934527692095
L. Messi,S. Nasri,1.8961143828637057,1.49765775582101,2.336088764483287,0.006,4.259516345447005,3.644494993180682,4.843866925825915
L. Messi,Isco,1.9360904419926483,1.5680886917858463,2.330735566593964,7.5e-4,4.026129456506486,3.528014074447286,4.521836964403152
L. Messi,Riqui Puig,1.989545552554739,1.6678578191312263,2.339212223100518,2.5e-4,4.228702215160043,3.638921353703073,4.823467799482129
L. Messi,E. Hazard,2.0803451597235085,1.6716355173664383,2.503152782082328,5e-4,3.715979455085525,3.045782515017054,4.363081176419876
L. Messi,İ. Gündoğan,2.2133650434640173,1.8378987952499137,2.6038747384627716,7.5e-4,4.119039273731149,3.485265299693325,4.715552665493599
L. Suárez,S. Jovetić,0.5698533164792958,0.23363096080062729,0.9878517797412734,0.39725,1.434181685156847,0.8618110827274126,2.041943760442229
