K,pc,feature,group,loading,ci_lo,ci_hi,reliable
4,PC2,rate_successful_dribbles,Progressive actions,0.0569710628789617,0.04313926182897104,0.07390843808456271,TRUE
4,PC2,per90_touch_in_box,Attacking output,-0.06353324968517485,-0.0784385228386908,-0.048337931514916804,TRUE
4,PC2,per90_losses,Defending,0.14030214592829712,0.11923565255547178,0.1590799695447757,TRUE
4,PC2,per90_own_half_losses,Defending,0.029777610462600454,0.011103678521553917,0.0481220527903656,TRUE
4,PC2,per90_dangerous_own_half_losses,Defending,-0.08881124766852933,-0.09718478988906265,-0.07798329472137283,TRUE
4,PC2,per90_recoveries,Defending,0.11492354756505468,0.09678457458022238,0.13464943144293803,TRUE
4,PC2,per90_opponent_half_recoveries,Defending,0.46073969115227875,0.4506896869063748,0.45717935963578027,TRUE
4,PC2,per90_dangerous_opponent_half_recoveries,Defending,0.3585770174001351,0.351053022492328,0.35874425494130757,TRUE
4,PC2,per90_interceptions,Defending,0.05306670704747394,0.04002338433928565,0.066554636266691,TRUE
4,PC2,per90_clearances,Defending,-0.2562923542315932,-0.2525208482474097,-0.2508332660972446,TRUE
4,PC2,per90_shots_blocked,Defending,-0.21970050797463617,-0.22372637917788538,-0.21264436905890194,TRUE
4,PC2,per90_defensive_duels,Dueling,0.3590113921680531,0.3380439292570351,0.3706558875809275,TRUE
4,PC2,per90_offensive_duels,Dueling,0.2416441815229808,0.2381652435694941,0.24026754826651123,TRUE
4,PC2,per90_aerial_duels,Dueling,-0.5793171819527249,-0.5978604444968942,-0.5626831258262963,TRUE
4,PC2,per90_pressing_duels,Dueling,-0.07188347199848895,-0.07574151613979427,-0.07221997022983921,TRUE
4,PC2,per90_loose_ball_duels,Dueling,-0.26939180410861463,-0.27386645396826015,-0.26952262308237834,TRUE
4,PC2,per90_sliding_tackles,Defending,0.06859996692656115,0.056081505752402214,0.07901859447130027,TRUE
4,PC2,per90_dribbles_against,Defending,0.38522951407925554,0.3824610991770585,0.3835811129081328,TRUE
4,PC2,rate_defensive_duels_won,Defending,-0.025655382541504245,-0.03608950318785009,-0.012999532850177187,TRUE
4,PC2,rate_offensive_duels_won,Dueling,0.28791336464624695,0.2755495138244244,0.30048008090589085,TRUE
4,PC2,rate_aerial_duels_won,Dueling,-0.1905362666932116,-0.19825119600213928,-0.18123843266213924,TRUE
4,PC2,per90_fouls,Discipline,-0.11044725511710721,-0.13137106520887623,-0.10194705443860831,TRUE
4,PC2,per90_fouls_suffered,Discipline,0.2136499800702554,0.20309433037738545,0.2141926206013547,TRUE
4,PC2,per90_yellow_cards,Discipline,-0.0537326688312006,-0.06411703161967745,-0.0462800957829502,TRUE
4,PC3,per90_goals,Attacking output,-0.2849595166316671,-0.2975728160092354,-0.27262526621572664,TRUE
4,PC3,per90_assists,Attacking output,-0.1442888226999497,-0.1573138506991364,-0.1309739559698532,TRUE
4,PC3,per90_xg_shot,Attacking output,-0.24484281454627924,-0.244687658144342,-0.24435837450384298,TRUE
4,PC3,per90_xg_assist,Attacking output,-0.05169087801275494,-0.07048411311498101,-0.03304522250634348,TRUE
4,PC3,per90_shots,Attacking output,-0.17156767636112993,-0.20139591965374876,-0.13891956826582844,TRUE
4,PC3,per90_head_shots,Attacking output,-0.28385657554065885,-0.3237749053650931,-0.24564921283815794,TRUE
4,PC3,per90_received_pass,Passing volume,-0.37459644769273476,-0.46327059468659204,-0.25274726754109544,TRUE
4,PC3,per90_passes,Passing volume,-0.31962105697551413,-0.40688654958397574,-0.20071340179082642,TRUE
4,PC3,per90_forward_passes,Passing volume,-0.14501082456704142,-0.21615407803660452,-0.05510124447606764,TRUE
4,PC3,per90_back_passes,Passing volume,-0.05943135834137316,-0.1335530360471683,0.029574420849892313,FALSE
4,PC3,per90_lateral_passes,Passing volume,-0.39645788732798,-0.4914544050187624,-0.2663675374962725,TRUE
4,PC3,per90_long_passes,Passing volume,-0.024319245209755137,-0.0864462822810238,0.03443293803287786,FALSE
4,PC3,per90_smart_passes,Passing volume,-0.08681097315165186,-0.12462106679941544,-0.04229448859348722,TRUE
4,PC3,per90_progressive_passes,Passing volume,-0.015650473047361713,-0.06991607742787623,0.04626060978171789,FALSE
4,PC3,per90_passes_to_final_third,Passing volume,-0.17389127781522828,-0.24031980576476814,-0.09099194692873634,TRUE
4,PC3,per90_key_passes,Passing volume,0.005143398443275231,-0.024379783027433516,0.03271472416839616,FALSE
4,PC3,per90_through_passes,Passing volume,-0.1901317727079946,-0.23368572434646903,-0.1408908354763112,TRUE
4,PC3,per90_crosses,Passing volume,0.3698643079928047,0.28885096980912117,0.4402512703683191,TRUE
4,PC3,per90_shot_assists,Passing volume,-0.016569524248553687,-0.04617508361534167,0.01564642346959369,FALSE
4,PC3,rate_successful_passes,Passing quality,-0.46205853415571235,-0.5600425948270875,-0.33199976226506833,TRUE
4,PC3,rate_successful_progressive_passes,Passing quality,-0.26353803703259715,-0.3139914490324641,-0.20011842724225654,TRUE
4,PC3,per90_dribbles,Progressive actions,0.18566693260783215,0.12235665689420606,0.25218289084703854,TRUE
4,PC3,per90_progressive_run,Progressive actions,0.0225943447383527,-0.007647888087299118,0.056272015086127156,FALSE
4,PC3,per90_accelerations,Progressive actions,0.11733396612857286,0.0771690706758015,0.15717507649065363,TRUE
4,PC3,rate_successful_dribbles,Progressive actions,-0.1785988039055749,-0.22856592586305896,-0.124172120354408,TRUE
4,PC3,per90_touch_in_box,Attacking output,-0.16962667468977344,-0.1953470918663166,-0.14554804270545213,TRUE
4,PC3,per90_losses,Defending,0.2691255499001463,0.1859850859173654,0.3417360204207319,TRUE
4,PC3,per90_own_half_losses,Defending,0.29849512426067265,0.2676033215232006,0.3290167616549478,TRUE
4,PC3,per90_dangerous_own_half_losses,Defending,0.03185524783804009,-0.0017781537205492082,0.06454292898124211,FALSE
