pc,feature,group,loading,ci_lo,ci_hi,reliable
PC1,per90_opponent_half_recoveries,Defending,0.1058939161512563,0.044551920883457004,0.16821486473014693,TRUE
PC1,per90_dangerous_opponent_half_recoveries,Defending,-0.24744093194856928,-0.29845885128097244,-0.19631058666524678,TRUE
PC1,per90_interceptions,Defending,0.80975582266409,0.76320103765689,0.8564271093488232,TRUE
PC1,per90_clearances,Defending,0.7738797841782458,0.7189429255228947,0.8290869465136642,TRUE
PC1,per90_shots_blocked,Defending,0.6855934124284497,0.6319762040400063,0.7396643745757591,TRUE
PC1,per90_defensive_duels,Dueling,0.38278583878637157,0.3268684554419609,0.4380667834602723,TRUE
PC1,per90_offensive_duels,Dueling,-0.7997678442528846,-0.8591038635343987,-0.7394886700591458,TRUE
PC1,per90_aerial_duels,Dueling,-0.06645713731098067,-0.12865569009342012,-0.005869137550268802,TRUE
PC1,per90_pressing_duels,Dueling,-0.5148190183459715,-0.558492359548161,-0.47145675486380223,TRUE
PC1,per90_loose_ball_duels,Dueling,-0.38429888266070883,-0.439450001241659,-0.3275523448724854,TRUE
PC1,per90_sliding_tackles,Defending,0.25954109676183734,0.2067291886969238,0.3135040285425283,TRUE
PC1,per90_dribbles_against,Defending,0.44431060133166644,0.39584402076030656,0.4938538998703846,TRUE
PC1,rate_defensive_duels_won,Defending,0.5094098038765007,0.46172066871384904,0.5562771760075356,TRUE
PC1,rate_offensive_duels_won,Dueling,0.372690281925443,0.32364436991617407,0.422756049184805,TRUE
PC1,rate_aerial_duels_won,Dueling,0.632479330551296,0.5762141173413756,0.6890035757595606,TRUE
PC1,per90_fouls,Discipline,-0.12676749005785165,-0.18856113492155302,-0.06477554403513501,TRUE
PC1,per90_fouls_suffered,Discipline,-0.5186734203449531,-0.5797055126945239,-0.45740135143026084,TRUE
PC1,per90_yellow_cards,Discipline,0.18506006130910024,0.13375317946496534,0.23675745506664403,TRUE
PC2,per90_goals,Attacking output,-0.17472770846879446,-0.1817933798202874,-0.16782138553615655,TRUE
