rank,player_name,player_id,season_id,feature,z_std,eps_raw,player_index,season_index
156,Aritz Aduriz,3290,8504,per90_aerial_duels,5.472180022444089,1.9560718750523645,25,1
157,T. Hernández,344132,185641,per90_accelerations,5.4570486112971075,2.7107881196733814,1019,5
158,Unai Bustinza,6365,10837,per90_sliding_tackles,5.456603995815191,2.917015516780064,397,3
159,Sergi Gómez,3338,8504,per90_sliding_tackles,5.453581418234268,2.915399693877947,48,1
160,Fran Gámez,452269,185828,per90_sliding_tackles,5.449135838738629,2.9130231563135927,1176,6
161,W. Swedberg,652912,189012,per90_goals,5.448087164023429,3.1158847731251798,1430,10
162,Y. Herrera,363717,186267,per90_aerial_duels,5.434611769456012,1.942642820678527,1051,7
163,Quique González,7593,185828,per90_aerial_duels,5.427725069696217,1.9401811180925717,417,6
164,Carles Pérez,344053,185828,per90_touch_in_box,5.422012177964657,1.8385842475577379,1010,6
165,Diego López,634666,188124,per90_touch_in_box,5.422001454269859,1.8385806111925502,1417,9
166,D. Bonera,20393,181144,rate_offensive_duels_won,5.414484149518832,3.728170517814769,467,4
167,F. Garcés,504689,191659,rate_offensive_duels_won,-5.414121090399303,-3.727920531616957,1243,12
168,Arbeloa,3301,8504,per90_assists,5.401238645873923,4.269214945578625,30,1
169,V. Muriqi,251447,187526,per90_aerial_duels,5.392106971564915,1.9274491612286273,847,8
170,Iván Alejo,279555,181144,per90_clearances,-5.391942869843021,-2.1073538423032474,912,4
171,Álex Alegría,6914,181144,rate_successful_progressive_passes,-5.362834871509759,-3.712566806746187,409,4
172,E. Mor,281255,186267,per90_crosses,-5.356091111511419,-2.015248809619947,920,7
173,Santi Mina,250885,187526,per90_aerial_duels,5.353961030740956,1.9138136079962556,845,8
174,S. Prcić,25470,185641,per90_dangerous_own_half_losses,5.34968661213094,4.143735395152125,520,5
175,Manu Morlanes,352788,185641,per90_dangerous_opponent_half_recoveries,5.348874374510224,4.387147319404485,1034,5
176,A. Solari,212625,186267,per90_xg_assist,5.341781855436111,3.1125841760905506,778,7
177,Ferrán Torres,397303,191659,per90_goals,5.3407846836207655,3.054516047783732,1105,12
178,S. Okazaki,14763,186267,per90_pressing_duels,5.333157281362776,2.5281809375724857,452,7
179,Iago Aspas,3840,191659,per90_passes_to_final_third,5.329219146692478,2.439700237220088,220,12
180,Ander Barrenetxea,596052,185828,per90_touch_in_box,5.310504876405998,1.8007725345987347,1370,6
181,Jorge Meré,275384,189012,rate_offensive_duels_won,5.299537081929637,3.649023131533588,891,10
182,F. Smolov,101707,185828,rate_successful_progressive_passes,-5.291824686034189,-3.663408094264094,684,6
183,C. Bacca,37831,187526,per90_xg_shot,-5.278545838973508,-2.0765507659973728,571,8
184,M. Rashford,397178,191659,per90_assists,5.257258918351143,4.155411345163717,1104,12
185,Joselu,3327,189012,per90_loose_ball_duels,-5.255127241650232,-2.634335032233485,43,10
186,Javi Ontiveros,408293,186267,per90_accelerations,5.240022750943592,2.6029805544832367,1129,7
187,Portu,3287,188124,per90_touch_in_box,-5.232917842610811,-1.7744630588048036,24,9
188,Víctor Ruíz,3277,188124,rate_offensive_duels_won,5.232232960596248,3.60268053749259,17,9
189,Y. Diomande,1182657,189974,per90_progressive_run,5.229629745521381,2.4194951348859557,1529,11
190,O. Vranješ,101948,9630,per90_dribbles_against,5.2276176810022434,2.514610559131688,687,2
191,Rubén Peña,225948,185641,per90_passes_to_final_third,5.218579061032616,2.3890495441634996,803,5
192,Víctor Sánchez,3797,8504,per90_sliding_tackles,5.213680107482254,2.787152189295208,202,1
193,C. Stuani,3714,8504,per90_offensive_duels,5.198366231836737,1.5163970701635068,190,1
194,Peque Fernández,595598,191659,per90_yellow_cards,5.188252114537283,4.136801619418266,1369,12
195,Á. Correa,254408,189974,per90_xg_shot,5.1820493266523115,2.038589571249915,853,11
196,Casemiro,40756,10837,per90_dribbles_against,5.178955199389332,2.49120272834443,580,3
197,L. Cabrera,3885,181144,rate_successful_passes,-5.163169996239665,-2.361380363514502,226,4
198,W. Cheddira,546863,189974,rate_successful_progressive_passes,5.149001033126648,3.5645345757413245,1296,11
199,Y. En-Nesyri,447821,181144,per90_aerial_duels,5.141409458160668,1.837835450951496,1166,4
200,Kike Pérez,478999,189012,per90_fouls,5.134719890393384,3.1060581826375007,1204,10
