component,observed_variable,mean,median,sd,q5,q95,rhat,ess_bulk,ess_tail
season,per90_passes_to_final_third,0.017354954178575,0.0148531925,0.01077882560145373,0.00716697997499999,0.03512743429999999,1.002733181091492,1189.6151753860704,1844.1033472995489
season,per90_key_passes,0.00356474876877,0.002920588,0.00252941782105924,9.38075415e-4,0.00814280116999999,1.0006470453106595,1668.3736791240276,2044.1198581500464
season,per90_through_passes,0.11542341905025,0.102400275,0.05727963095823253,0.0534861574,0.22468588,1.0017595441205311,1818.9734923142605,2600.2879164829415
season,per90_crosses,0.00561790099396,0.00460861965,0.00386656880767065,0.00189499155999999,0.01269594114999999,1.0035994696769048,1168.943408556119,2056.5982317669836
season,per90_shot_assists,0.00464198541773,0.00387774575,0.00313620467298399,0.00152450902499999,0.01036293424999998,1.0033906949511684,1532.6764037561293,2703.7703730028456
season,rate_successful_passes,0.0334263332941,0.0286181675,0.01902361014355038,0.01417221185,0.06945694859999997,1.000724469384453,1102.7622778403595,2016.509237014745
season,rate_successful_progressive_passes,0.0911948709915,0.0800839265,0.04818817534418278,0.04032881219999999,0.17831900799999997,1.0014827139280635,1492.693142058037,2036.065981578854
season,rate_successful_crosses,0.00283908633299141,0.002002979,0.00314820945408146,4.729665325e-5,0.00841828768499999,1.0019162146657654,756.6868231799582,915.370333039962
season,per90_dribbles,0.11673894021725,0.10355653,0.05796998914977493,0.05416098315,0.22895502799999976,1.000821367038396,1471.3128049880177,2112.26021215606
season,per90_progressive_run,0.042054586529375,0.0362839395,0.02297999593075408,0.01791706209999999,0.08499513344999991,1.0015960898503211,1444.526110505417,2077.839450301622
season,per90_accelerations,0.180659031222,0.158665185,0.0902005664690566,0.08383491775,0.3555303399999996,1.0024707058349005,1286.0392834476852,2037.4756837299096
season,rate_successful_dribbles,0.0086067514541925,0.00701922665,0.00639162965040549,0.002554298935,0.01972387209999994,1.0010001513376876,1500.438068793679,2570.095202674111
season,per90_touch_in_box,9.42060815135303e-4,7.3799476e-4,8.314499287195878e-4,1.658053735e-4,0.00230196250499999,1.0007609687319,1322.9420848556506,1213.7418078717023
season,per90_losses,0.07035576690725,0.0606468965,0.0399837311833176,0.0313393772,0.141191286,1.001916463018411,1358.9495188605947,2254.5991465670854
season,per90_own_half_losses,0.021182412124925,0.018115021,0.0116535558878467,0.008847406135,0.04371122394999999,1.0005394754750796,1659.3372416669804,2371.0210521689764
season,per90_dangerous_own_half_losses,0.0142709545816,0.0119904125,0.00884027611694329,0.00511453112,0.03158061819999999,1.000181022414917,1286.9525501765236,2207.970421819789
season,per90_recoveries,0.0155785368275,0.013203535,0.00924224591226368,0.006365788125,0.0324376761,1.0005060632260356,1211.1450744067731,1284.6877989234472
season,per90_opponent_half_recoveries,0.00522604696041,0.00437400575,0.00348997368021644,0.001835122805,0.01111384594999999,1.0046852367909456,1491.743524285974,2269.724544631628
season,per90_dangerous_opponent_half_recoveries,0.0074122678413975,0.0061236837,0.0050891611659093,0.002316957675,0.01705278629999999,1.0028228924324212,1558.4017529616567,2263.8837235718565
season,per90_interceptions,0.08058808132725,0.070492467,0.04245014564248287,0.0350163207,0.15920241299999988,1.0027228777359554,1005.1670243079752,1792.4053778675154
season,per90_clearances,0.0353682824811,0.030490923,0.02014915188693995,0.0155089954,0.07091207259999999,1.0036317857643309,1488.5862941462472,2449.203883640754
season,per90_shots_blocked,0.0128606818504,0.010663813,0.0084775094968867,0.00474245747,0.02782422934999997,1.0008969328135964,1556.645466814544,2522.5762630664044
season,per90_defensive_duels,0.08854302056575,0.07715050949999999,0.04664317509742474,0.0400462974,0.173866572,1.0017800835584116,829.0243202345248,1599.897975008873
season,per90_offensive_duels,0.062970601353,0.054484766,0.03354050869116769,0.0276313074,0.12638778349999996,1.000244472576095,1158.6488889534246,1831.3949592507704
season,per90_aerial_duels,0.0667909806125,0.057492434,0.0370627596410967,0.02925411635,0.13093574499999996,1.0024045218968842,1609.3330648360532,2295.672463050434
season,per90_pressing_duels,0.32277212426475,0.291135505,0.15219692008407829,0.1539366025,0.6075243564999998,1.0021297094068382,1229.4104778826706,1993.7947367230888
season,per90_loose_ball_duels,0.119955454263,0.103462315,0.06758343400728403,0.0533622059,0.24599897149999997,1.001488263900468,1061.5322927949285,1524.711861253102
season,per90_sliding_tackles,0.1283404557805,0.113003315,0.0646973096193548,0.0572682416,0.2503884039999999,1.0025672023452024,1096.438804142713,1793.979399491741
season,per90_dribbles_against,0.147817795326,0.129484295,0.07798143022939805,0.06608906070000001,0.28724676999999993,1.0064955111750602,1076.662067868809,1977.7948080557735
season,rate_defensive_duels_won,0.13578190350975,0.1192841,0.06821913241541191,0.06248954425,0.26738485,1.0016774897265703,1673.827900323087,2650.2980135112507
season,rate_offensive_duels_won,0.016015598042525,0.013592423,0.01018793595586665,0.005713350535,0.03522755429999998,1.0027350366557914,1610.2685123909937,2469.116674828747
season,rate_aerial_duels_won,0.003869861410065,0.003224896,0.00264828932056276,0.00126228351,0.00858894105999999,1.0016056692571416,1443.4987930636971,2498.1790566938475
season,rate_dribbles_against_won,0.008584815028065,0.00702969575,0.00627048902791522,0.002366286385,0.01987783879999999,1.0010229973967035,1269.582801228811,1915.513312432127
season,rate_successful_sliding_tackles,0.01099896336683,0.0090439363,0.00811556222954696,0.00306007679,0.02528863124999999,1.000398216409554,1496.0365753256592,2421.5268394489403
season,per90_fouls,0.026061156750375,0.022066751,0.01543639409294875,0.01040395165,0.05402589544999993,1.0034209919557495,1135.6556098942365,1951.944654967759
season,per90_fouls_suffered,0.017766624263075,0.014973712,0.01058171856110615,0.007292603505,0.03764128385,1.0021130213623242,1315.7724794266433,1849.575887631573
season,per90_yellow_cards,0.017412729104525,0.014593001,0.0108920055969225,0.00622221306,0.0371109024,1.0012552402939154,1488.8006642542705,2424.667221546225
residual,per90_goals,0.3212579056475,0.32114496,0.00784117489995827,0.30863721650000003,0.3343280515,1.000716379956189,2360.134591323825,3244.414169946007
residual,per90_assists,0.5891085282325,0.5887698100000001,0.01399789591219034,0.5663715925,0.612648286,1.0020136153471595,3224.4932527272726,2831.879146018878
residual,per90_xg_shot,0.1789204904725,0.178871675,0.0043520769517309,0.171831995,0.1861929745,0.9998920496433772,2848.5157820185373,2999.9601646684405
residual,per90_xg_assist,0.3206096196825,0.32064824999999997,0.00774960859701976,0.307773228,0.33348379100000003,1.00104320059049,3253.896674554064,2949.60615556611
residual,per90_shots,0.128994679315,0.12894887,0.00317903357768507,0.1239252415,0.134282914,1.0012294950747953,3117.8483888510773,2821.3766791419216
residual,per90_head_shots,0.26693813918,0.26685394500000004,0.00663198033820757,0.2560087335,0.2778018725,1.000106859700416,2904.3193297543153,2928.9829175174814
residual,rate_shots_on_target,0.837932464135,0.837831735,0.02010156646373797,0.805905348,0.870902734,1.0012820789145438,2445.5815206837124,2772.2946353762877
residual,rate_goal_conversion,0.822203473755,0.82210977,0.02008779724036701,0.7896824044999999,0.855367491,1.0014718915220748,2704.357440191554,3066.3080533624916
residual,per90_received_pass,0.18143463467,0.181428225,0.00433189692631202,0.17455453250000005,0.1888752565,1.000529627891811,2738.1844390607043,3232.950961293766
residual,per90_passes,0.150576476505,0.150555315,0.00370143594118903,0.14460002549999998,0.156798504,1.0000878034799832,2632.511287086027,3143.0661949954106
residual,per90_forward_passes,0.146242234075,0.14611989,0.00349673215684164,0.140517474,0.152113783,1.0007312071332557,3258.567928691514,2910.315115711383
residual,per90_back_passes,0.16579930632,0.16571450999999998,0.00413341091674996,0.15932117650000002,0.172765736,1.0003314344188363,2931.4661968281116,2962.368633441649
residual,per90_lateral_passes,0.1838680175025,0.183860065,0.00454555773515016,0.1763389475,0.1913850255,1.0029843564669407,3354.996794087931,2524.3294736266266
residual,per90_long_passes,0.15577286313,0.15567730000000002,0.0037882968593895,0.1498156495,0.162038034,1.0011098614739713,3087.369135738696,3184.334364060684
residual,per90_smart_passes,0.2046915333675,0.204674205,0.00497357710808175,0.196559563,0.212918966,1.000415665654797,2824.5167804645966,3286.1912979566423
residual,per90_progressive_passes,0.177467463255,0.17739939999999998,0.00441634103317641,0.170392698,0.18495200899999997,1.0030638412201571,2631.236309846491,2857.587891701744
residual,per90_passes_to_final_third,0.18722800729,0.187195455,0.00457266953765753,0.17976286949999998,0.194849718,1.0012220900838746,3283.2277490271945,3112.264437477137
residual,per90_key_passes,0.33497582318,0.334811455,0.0080904960150875,0.3216967285,0.348267994,1.0002896283672562,3202.196780045472,3088.206010115061
residual,per90_through_passes,0.281677010865,0.281741135,0.00662651276041257,0.2708375595,0.292274501,1.001057493861435,3468.6035026006334,3368.84771455043
residual,per90_crosses,0.145909214785,0.14584626,0.00366716626950045,0.140137414,0.1520118295,0.999998885358213,3439.025856046414,3211.7479510555427
residual,per90_shot_assists,0.2257102954625,0.225557105,0.00549965889829438,0.216829377,0.2350081045,1.0002817287889187,3110.9217236295,3100.543678716772
residual,rate_successful_passes,0.2189758411925,0.218917675,0.00546198488095443,0.2101244185,0.228043598,1.000620000281388,3067.8545793135336,3308.4564984232293
