feature,factor,loading,q5,q95,group,sign,abs_loading,communality
rate_offensive_duels_won,Factor_1,5.136354350000376e-4,-0.265653023,0.2670552315,Dueling,+,5.136354350000376e-4,4.163814262479952e-4
rate_aerial_duels_won,Factor_1,-2.597922647500358e-4,-0.07294345934999999,0.07145575094999998,Dueling,-,2.597922647500358e-4,0.016520357795423796
rate_dribbles_against_won,Factor_1,-2.804882112500071e-4,-0.10873651,0.10878448949999998,Defending,-,2.804882112500071e-4,0.008031097229694924
rate_successful_sliding_tackles,Factor_1,0.00161899573999995,-0.250137165,0.2528374665,Defending,+,0.00161899573999995,0.016358915107198883
per90_fouls,Factor_1,-0.00123462744000007,-0.3734077005000001,0.3701401124999999,Discipline,-,0.00123462744000007,0.09085369080333788
per90_fouls_suffered,Factor_1,-0.00153284470749999,-0.1775809565,0.17373619299999996,Discipline,-,0.00153284470749999,0.05073669646444057
per90_yellow_cards,Factor_1,-6.034982322644878e-4,-0.05279571505,0.0512496161,Discipline,-,6.034982322644878e-4,0.019196794164739298
per90_goals,Factor_2,0,0,0,Attacking output,+,0,0.05634725754542801
per90_assists,Factor_2,0.824981375945,0.7941120865000001,0.8553005505000001,Attacking output,+,0.824981375945,0.6805942706561054
per90_xg_shot,Factor_2,0.2913260570875,0.27243212299999997,0.310875956,Attacking output,+,0.2913260570875,0.08487211372926874
per90_xg_assist,Factor_2,0.5232440895225,0.5033006505000001,0.543206634,Attacking output,+,0.5232440895225,0.2737846951256418
per90_shots,Factor_2,0.3369275976225,0.31268894950000004,0.3605487325,Attacking output,+,0.3369275976225,0.11352176711853007
per90_head_shots,Factor_2,-0.1846521203375,-0.2074295445,-0.16199981400000002,Attacking output,-,0.1846521203375,0.03409848056098258
rate_shots_on_target,Factor_2,-0.047100097953,-0.06655075265,-0.0275084338,Shooting rates,-,0.047100097953,0.002219312060022058
rate_goal_conversion,Factor_2,-0.322167361405,-0.33990925250000004,-0.30457281100000005,Shooting rates,-,0.322167361405,0.10379190144795589
per90_received_pass,Factor_2,-0.06116537526575,-0.07918920975,-0.0436852565,Passing volume,-,0.06116537526575,0.0037433996548150578
per90_passes,Factor_2,-0.19563157521,-0.21258141,-0.17923914700000002,Passing volume,-,0.19563157521,0.03827171717330834
per90_forward_passes,Factor_2,-0.05718463603675,-0.07075364555000001,-0.04325316755,Passing volume,-,0.05718463603675,0.00327008957029196
per90_back_passes,Factor_2,0.17752293789,0.1599485735,0.194646596,Passing volume,+,0.17752293789,0.031514822288455854
per90_lateral_passes,Factor_2,0.142583705523,0.1217656775,0.16325182749999995,Passing volume,+,0.142583705523,0.020331269161267228
per90_long_passes,Factor_2,-0.2324460507025,-0.25559985350000003,-0.209690178,Passing volume,-,0.2324460507025,0.0540361800331604
per90_smart_passes,Factor_2,-0.34879864353,-0.3694904815,-0.32751387949999994,Passing volume,-,0.34879864353,0.12166105495382944
per90_progressive_passes,Factor_2,0.1448690447625,0.12564505399999998,0.16361196649999998,Passing volume,+,0.1448690447625,0.020988060344088
per90_passes_to_final_third,Factor_2,-0.0235888012127435,-0.03924784735,-0.00853066478500001,Passing volume,-,0.0235888012127435,5.578958656174168e-4
per90_key_passes,Factor_2,0.0110357346274129,-0.009322038635,0.03146937014999997,Passing volume,+,0.0110357346274129,1.2641397782160805e-4
per90_through_passes,Factor_2,-0.297539608525,-0.315502119,-0.2789990485,Passing volume,-,0.297539608525,0.08853021023154029
per90_crosses,Factor_2,-0.12307820564,-0.13910434149999998,-0.10772734600000002,Passing volume,-,0.12307820564,0.015148250127828285
per90_shot_assists,Factor_2,0.0855293359,0.05646915205,0.1140892635,Passing volume,+,0.0855293359,0.007322935108927292
rate_successful_passes,Factor_2,-0.058867065706825,-0.08120190749999999,-0.03586358185,Passing quality,-,0.058867065706825,0.00346561784874809
rate_successful_progressive_passes,Factor_2,-0.3096823518675,-0.3301489945,-0.2900595475,Passing quality,-,0.3096823518675,0.09590555543102071
rate_successful_crosses,Factor_2,0.298819929425,0.277944919,0.31982382000000004,Passing quality,+,0.298819929425,0.08929485613598613
per90_dribbles,Factor_2,-0.1911446280975,-0.2121821115,-0.17065882449999997,Progressive actions,-,0.1911446280975,0.036537671825996106
per90_progressive_run,Factor_2,0.52978967467,0.506072701,0.5539630975,Progressive actions,+,0.52978967467,0.28067765965701075
per90_accelerations,Factor_2,0.4114777648675,0.391079016,0.4324272165,Progressive actions,+,0.4114777648675,0.1693140507172423
rate_successful_dribbles,Factor_2,0.12231570758725,0.105576447,0.13962169900000002,Progressive actions,+,0.12231570758725,0.014961132757369943
per90_touch_in_box,Factor_2,0.29164788763,0.272066288,0.3115541515,Attacking output,+,0.29164788763,0.08505911270110167
per90_losses,Factor_2,-0.080204202553,-0.09792648165,-0.06265410455000005,Defending,-,0.080204202553,0.0064367803454316716
per90_own_half_losses,Factor_2,-0.24059435698,-0.2622424725,-0.21847663300000003,Defending,-,0.24059435698,0.05788589084889851
per90_dangerous_own_half_losses,Factor_2,0.3612089626625,0.34211732149999996,0.3805476015,Defending,+,0.3612089626625,0.13047215815384655
per90_recoveries,Factor_2,0.156936799135,0.141104686,0.17225968549999998,Defending,+,0.156936799135,0.024629164401794447
per90_opponent_half_recoveries,Factor_2,0.064382178832675,0.0415138205,0.08724031704999999,Defending,+,0.064382178832675,0.004149964226219291
per90_dangerous_opponent_half_recoveries,Factor_2,-0.3164738243575,-0.338921481,-0.293793931,Defending,-,0.3164738243575,0.10015849214822618
per90_interceptions,Factor_2,-0.1514899459,-0.16613268,-0.1357377375,Defending,-,0.1514899459,0.022950340080988185
per90_clearances,Factor_2,0.02500159495522325,0.007926601955,0.04251434784999999,Defending,+,0.02500159495522325,6.251973456848205e-4
per90_shots_blocked,Factor_2,-0.24537509378,-0.27196012999999997,-0.21866912550000003,Defending,-,0.24537509378,0.06021073385339687
per90_defensive_duels,Factor_2,-0.13018644251775,-0.15057164299999998,-0.10983278000000002,Dueling,-,0.13018644251775,0.016948638228363285
per90_offensive_duels,Factor_2,-0.09247962990425,-0.113691827,-0.07200286700000001,Dueling,-,0.09247962990425,0.008556023954289607
per90_aerial_duels,Factor_2,0.2187443142,0.201277659,0.2366192235,Dueling,+,0.2187443142,0.04784911940303603
per90_pressing_duels,Factor_2,0.0162123807088835,-0.00513120013,0.03744299019999998,Dueling,+,0.0162123807088835,2.6366770890534836e-4
per90_loose_ball_duels,Factor_2,0.437786765485,0.414893652,0.4613165775,Dueling,+,0.437786765485,0.1916575637099818
per90_sliding_tackles,Factor_2,-6.241143112440001e-4,-0.01865552299999999,0.01749323994999999,Defending,-,6.241143112440001e-4,3.006826737132404e-6
per90_dribbles_against,Factor_2,-0.18326752282,-0.2011753305,-0.16603868600000005,Defending,-,0.18326752282,0.03358716208480086
rate_defensive_duels_won,Factor_2,-0.3465494580325,-0.364035814,-0.3297040075,Defending,-,0.3465494580325,0.1200966049657212
rate_offensive_duels_won,Factor_2,0.0203989608776503,0.00128405227,0.04010805914999999,Dueling,+,0.0203989608776503,4.163814262479952e-4
rate_aerial_duels_won,Factor_2,-0.12853128141975,-0.14674506250000002,-0.11085993,Dueling,-,0.12853128141975,0.016520357795423796
rate_dribbles_against_won,Factor_2,-0.089615950344,-0.107090209,-0.07173081035000001,Defending,-,0.089615950344,0.008031097229694924
rate_successful_sliding_tackles,Factor_2,-0.1278917274885,-0.14622817400000002,-0.109621027,Defending,-,0.1278917274885,0.016358915107198883
per90_fouls,Factor_2,-0.30141693134,-0.3282247495,-0.27355238,Discipline,-,0.30141693134,0.09085369080333788
per90_fouls_suffered,Factor_2,0.2252428619325,0.2076072275,0.243222973,Discipline,+,0.2252428619325,0.05073669646444057
per90_yellow_cards,Factor_2,0.138551181715,0.1217455165,0.15574244599999998,Discipline,+,0.138551181715,0.019196794164739298
