query_player_index,query_player_name,query_archetype,neighbor_index,style_dist_mean,style_dist_q05,style_dist_q95,p_closest_neighbor,player_name,archetype
436,L. Modrić,Midfielders,59,0.6029773124024193,0.31470840685987184,0.98311681630963,0.09775,Andrés Iniesta,Midfielders
436,L. Modrić,Midfielders,971,0.6306182458034405,0.34704203706950326,0.9298010592792904,0.06175,Dani Ceballos,Midfielders
436,L. Modrić,Midfielders,292,0.713689784043986,0.46757625624322463,1.006231084584366,0.01075,T. Gayoso Roberto,Midfielders
436,L. Modrić,Midfielders,603,0.7357367381659717,0.4387805025446221,1.0545327847897075,0.01775,M. Kovačić,Midfielders
436,L. Modrić,Midfielders,1073,0.813360573797389,0.4328361287099852,1.2513172979126566,0.021,F. de Jong,Midfielders
436,L. Modrić,Midfielders,447,0.8447280118245701,0.5552409005596384,1.1983053552992207,0.00325,T. Kroos,Midfielders
436,L. Modrić,Midfielders,12,0.8454522532452006,0.48311868904583366,1.2779968292327801,0.01275,Jordi Alba,Midfielders
436,L. Modrić,Midfielders,54,0.8587833810288658,0.6006637974603182,1.1273050897941375,7.5e-4,Sergi Roberto,Midfielders
316,Dani Carvajal,Midfielders,1186,0.38622453597398904,0.1351738917787084,0.7206538535948779,0.30475,Óscar Mingueza,Midfielders
316,Dani Carvajal,Midfielders,153,0.4113572587569934,0.16741410877944843,0.7392285698322365,0.219,Beñat Etxebarria,Midfielders
316,Dani Carvajal,Midfielders,568,0.5547030353444162,0.2535567632457001,0.9478061377646122,0.06325,E. Culio,Midfielders
316,Dani Carvajal,Midfielders,1486,0.5852002030558,0.22256376338491551,1.0135335308401539,0.0815,Héctor Fort,Midfielders
316,Dani Carvajal,Midfielders,82,0.5941897772124354,0.2453355600056497,1.0080302685484315,0.055,Ander Herrera,Midfielders
316,Dani Carvajal,Midfielders,412,0.5955992711918635,0.2564877430407846,1.0282991887103607,0.067,Javi Lara,Midfielders
316,Dani Carvajal,Midfielders,531,0.6166250213482518,0.32047670461063715,0.9426795905903548,0.0255,L. Digne,Defensive midfielders
316,Dani Carvajal,Midfielders,110,0.6422782356839113,0.4158657197682815,0.9117438685695575,0.00175,José Campaña,Midfielders
316,Dani Carvajal,Midfielders,607,0.6883559017742663,0.37141594624777813,1.040518407489788,0.01075,Danilo,Defensive midfielders
316,Dani Carvajal,Midfielders,770,0.7203188937603113,0.5099170134085209,0.9731188649144291,5e-4,Óliver Torres,Midfielders
99,Koke,Midfielders,1479,0.3989290789845375,0.1464042958436993,0.7278878761221759,0.23475,Hugo Sotelo,Midfielders
99,Koke,Midfielders,54,0.4011604209166217,0.15806805513218694,0.7335515962063993,0.198,Sergi Roberto,Midfielders
99,Koke,Midfielders,23,0.4135749000822034,0.19411345671460786,0.6961677635523037,0.14775,Dani Parejo,Midfielders
99,Koke,Midfielders,971,0.5282089820466644,0.2373461722250358,0.8622151907536412,0.072,Dani Ceballos,Midfielders
99,Koke,Midfielders,603,0.5413329386851107,0.20562011395454408,0.9575948811997158,0.084,M. Kovačić,Midfielders
99,Koke,Midfielders,46,0.5805526705719617,0.29985641518851464,0.9686645674300502,0.0425,Adriano,Midfielders
99,Koke,Midfielders,218,0.5874226562480678,0.2885237926882836,0.9577614810003027,0.031,Álex López,Midfielders
99,Koke,Midfielders,112,0.6993909157896907,0.25423489436475905,1.165415322250591,0.03725,I. Rakitić,Midfielders
99,Koke,Midfielders,1326,0.7127983192695736,0.2540633612038028,1.2402005548047226,0.04375,Kirian Rodríguez,Midfielders
99,Koke,Midfielders,1374,0.7200761549854391,0.4567998092356116,1.0108052165332155,0.00225,E. Camavinga,Midfielders
182,A. Griezmann,Attacking midfielders,435,0.47821970774261546,0.21407066267281719,0.8330603053354788,0.26225,G. Bale,Attacking midfielders
182,A. Griezmann,Attacking midfielders,1491,0.5603339438580043,0.1901914686603936,1.0203443154948346,0.19025,Fermín López,Attacking midfielders
182,A. Griezmann,Attacking midfielders,964,0.6256351231148894,0.26024440455901293,1.036975507444801,0.1115,Malcom,Attacking midfielders
182,A. Griezmann,Attacking midfielders,220,0.6647944149154155,0.3952687416808742,0.9876710277613651,0.019,Iago Aspas,Attacking midfielders
182,A. Griezmann,Attacking midfielders,1151,0.7217925295617339,0.2524809190407097,1.2546933949306114,0.07825,Francisco Trincão,Attacking midfielders
182,A. Griezmann,Attacking midfielders,183,0.7380535361400181,0.312015322846712,1.2223859224818248,0.04225,C. Vela,Attacking midfielders
182,A. Griezmann,Attacking midfielders,1185,0.7386853174235919,0.4642129128741473,1.0956641530431603,0.0105,João Félix,Attacking midfielders
