variable,is_candidate_per90_or_rate,in_curated_list,passed_missingness_filter,passed_variance_filter,selected_for_model,exclusion_reason,n_missing,prop_missing,n_observed,variance,n_distinct
per90_successful_crosses,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.24501458224432796,3494
per90_successful_defensive_actions,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,10.376408980036885,4789
per90_successful_dribbles,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,2.563468792775931,4332
per90_successful_forward_passes,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,20.584574832898745,4829
per90_successful_key_passes,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.06619397295917398,3303
per90_successful_lateral_passes,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,41.67916392777679,4829
per90_successful_linkup_plays,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,2.658554834512502,2126
per90_successful_long_passes,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,2.5580538735086686,4582
per90_successful_passes,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,163.22311374186555,4882
per90_successful_passes_to_final_third,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,4.361149971346361,4683
per90_successful_penalties,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.0011379284145437093,475
per90_successful_progressive_passes,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,5.165679869903035,4736
per90_successful_sliding_tackles,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.045560090765525196,2993
per90_successful_smart_passes,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.19371695223923355,3045
per90_successful_through_passes,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.055191624984167485,3193
per90_successful_vertical_passes,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,41.67916392777679,4829
per90_third_assists,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.0020341565501040913,1350
per90_vertical_passes,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,41.16680933066861,4836
per90_xg_save,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.10693404311685885,362
rate_duels_won,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.01261807564665104,3696
rate_field_aerial_duels_won,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,358,0.07241100323624595,4586,0.019387759819375006,1572
rate_successful_back_passes,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,271,0.05481391585760518,4673,0.005830674407832677,1428
rate_successful_forward_passes,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.008388601184314328,3258
rate_successful_key_passes,TRUE,FALSE,FALSE,FALSE,FALSE,not in curated thesis feature set,1014,0.20509708737864077,3930,NA,NA
rate_successful_long_passes,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,11,0.0022249190938511327,4933,0.017081224054503664,1719
rate_successful_passes_to_final_third,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.015277137928397012,1990
rate_successful_smart_passes,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,902,0.1824433656957929,4042,0.05368683033625483,418
rate_successful_through_passes,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,250,0.0505663430420712,4694,0.04521834564260027,320
rate_successful_vertical_passes,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.010975445489216435,3367
