feature,p99,p99_excess,max_abs_std,n_gt5sd,genuinely_underfitting,skewness,recommended_transform,icc_player,icc_season,verdict
per90_offensive_duels,2.710204655624675,-0.661,5.5012068059796055,1,FALSE,0.8758238921247132,none,0.8706201427075,0.051638343788,unremarkable_p99
per90_assists,2.70295522493851,-0.668,5.703324003023315,2,FALSE,1.7091669543404868,sqrt,0.3816502063675,0.014722958842525,unremarkable_p99
rate_successful_dribbles,2.681770306077776,-0.689,5.694894291300043,16,FALSE,-0.5426430196450888,none,0.2288792289375,0.0079764621640675,unremarkable_p99
per90_xg_assist,2.656519904729461,-0.714,7.501184897608531,1,FALSE,1.3593801936391243,sqrt,0.6589285731725,0.008554317806325,unremarkable_p99
per90_shots_blocked,2.598609935995249,-0.772,6.389495144224871,3,FALSE,1.454527670316798,sqrt,0.6581380535775,0.015376079376,unremarkable_p99
per90_sliding_tackles,2.5983793103962594,-0.773,6.341782097796497,2,FALSE,1.840125282112188,sqrt,0.6093377836475,0.11267841295125,unremarkable_p99
per90_key_passes,2.5543017240337984,-0.817,4.45400101667406,0,FALSE,1.1747730249082382,sqrt,0.648058729305,0.0049711491278225,unremarkable_p99
per90_shot_assists,2.5393487696041825,-0.832,4.975683519661213,0,FALSE,1.081264264466122,sqrt,0.75263654082,0.01140201460645,unremarkable_p99
per90_progressive_run,2.5192066705231237,-0.852,4.8319134231828045,0,FALSE,1.721921134646274,sqrt,0.754005465255,0.043902848386975,unremarkable_p99
per90_lateral_passes,2.5116102158812894,-0.859,5.520387405093096,1,FALSE,0.9820692601858554,none,0.7930684253225,0.019203019177075,unremarkable_p99
per90_clearances,2.496511467763269,-0.874,6.076847126876135,2,FALSE,1.1796773173063395,sqrt,0.8397913331975,0.028625279452325,unremarkable_p99
per90_shots,2.4791450900194114,-0.892,4.716615843563019,0,FALSE,1.2075213356861263,sqrt,0.8570035421675,0.0100585951664,unremarkable_p99
per90_through_passes,2.4622138222174845,-0.909,8.038859215285633,2,FALSE,2.664161340432361,log1p,0.57776786549,0.130844606406,unremarkable_p99
per90_pressing_duels,2.451141747204028,-0.92,4.430159413059992,0,FALSE,1.4729726046083258,sqrt,0.4653666637375,0.3049849803025,unremarkable_p99
per90_received_pass,2.4251073350731267,-0.946,6.234110990386198,1,FALSE,0.909200771432259,none,0.785387695715,0.03514498597065,unremarkable_p99
