"player_index","player_id","player_name","archetype","cluster","pc1_score","pc2_score","pc3_score","n_seasons"
23,3286,"Dani Parejo","Midfielders",5,1.95968474325727,3.76234595512624,2.42258998192724,11
24,3287,"Portu","Attacking midfielders",2,-5.22649932872066,-0.854731852218647,-0.38753545896974,9
25,3290,"Aritz Aduriz","Forwards",4,-6.36187481360972,-4.9719221926134,2.47642688760123,5
26,3291,"Paco Alcácer","Forwards",4,-5.33738084219398,-3.40776533203653,2.1810032067184,7
27,3293,"P. Piatti","Attacking midfielders",2,-3.75890061396951,1.18510652446208,-1.5693646290303,5
28,3294,"Roberto Soldado","Forwards",4,-5.06039965110142,-2.55684176111956,0.840000656651563,5
29,3300,"Raúl Albiol","Centre backs",1,5.74174418972887,-0.904521476386714,1.67235498847311,6
30,3301,"Arbeloa","Defensive midfielders",3,2.62595851513428,2.83250300482424,1.09676604570849,1
31,3304,"Nacho Fernández","Centre backs",1,3.56565798747735,-0.586393418251732,1.35462252104383,10
32,3305,"Pepe","Centre backs",1,4.8443382689673,-0.493881566057023,2.20750841929586,3
33,3306,"Sergio Ramos","Centre backs",1,5.56830665802563,-0.228703716780083,3.41996513516123,8
34,3309,"R. Varane","Centre backs",1,5.09787386237799,-1.89924084016354,2.50230757012918,7
35,3310,"Marcelo","Midfielders",5,0.665518263257169,6.17948000599913,1.14645670804871,8
36,3313,"José Callejón","Midfielders",5,-1.03981033143937,1.66633626745575,-0.00278745272911873,1
37,3317,"Esteban Granero","Defensive midfielders",3,1.0373861336392,1.59439177518892,0.344716635995205,6
38,3321,"K. Benzema","Attacking midfielders",2,-6.13664385957639,0.194458251938906,4.55923584128151,9
39,3322,"Cristiano Ronaldo","Forwards",4,-7.50822951549069,-0.914054952550514,5.04817749146808,4
40,3324,"Álvaro Morata","Forwards",4,-6.29460039377375,-4.00045500435405,0.870427205591976,5
41,3325,"Juanfran","Midfielders",5,1.09406682422182,2.51750294246157,-2.06010155863367,5
42,3326,"Jesé Rodríguez","Attacking midfielders",2,-6.09191319608654,2.02594466087914,1.14388760942496,4
43,3327,"Joselu","Forwards",4,-4.86638723638494,-4.62270961648685,0.943338107240925,6
44,3334,"Dani Alves","Midfielders",5,2.45628240873989,6.14522459849911,0.792940901989067,3
45,3335,"Marc Bartra","Centre backs",1,5.11558585590233,-0.664386327695235,1.20394581643364,9
46,3336,"Adriano","Midfielders",5,2.97852702027539,4.72745007913097,1.53356318939298,2
47,3337,"Andreu Fontàs","Centre backs",1,6.89230405609427,0.912566297794919,1.70660324517406,4
48,3338,"Sergi Gómez","Centre backs",1,5.50679868468609,-2.04574917114628,1.39014500759173,10
49,3339,"Martín Montoya","Defensive midfielders",3,3.01536681171686,1.15271064397679,-2.16704094044729,5
50,3340,"Muniesa","Defensive midfielders",3,4.71044909310721,0.744847080004457,-0.181894160149931,2
51,3341,"Gerard Piqué","Centre backs",1,6.16755184631085,-0.174121361992539,3.39770641036504,8
52,3344,"Rafinha","Midfielders",5,-1.22796038007136,3.56733247606495,1.75117984019704,4
53,3346,"Sergio Busquets","Defensive midfielders",3,4.58401657079145,3.9110431309714,2.90374874193615,9
54,3347,"Sergi Roberto","Midfielders",5,0.852494214869744,3.79513484459392,2.23833739708882,8
55,3348,"Gerard Deulofeu","Attacking midfielders",2,-5.05895891228971,3.85796761841561,1.90195595537539,1
56,3349,"J. dos Santos","Midfielders",5,0.168190565129202,2.68752384652676,0.573822552343913,3
57,3351,"Kiko Femenía","Defensive midfielders",3,2.42104032612448,1.80698830444448,-0.74828577652249,5
58,3352,"Xavi","Midfielders",5,2.01810728582115,7.32245642887275,5.70686374689072,1
59,3353,"Andrés Iniesta","Midfielders",5,0.682075914139822,6.79052403010028,3.93999576866313,4
60,3355,"J. Mascherano","Defensive midfielders",3,6.5267191083432,2.48397556558849,3.28208355914736,4
61,3357,"Isaac Cuenca","Attacking midfielders",2,-2.24936710198814,1.15917374741768,-0.454993340779788,3
62,3358,"Cristian Tello","Attacking midfielders",2,-3.19759964841628,2.20538106740159,0.644684791797971,5
63,3359,"L. Messi","Attacking midfielders",2,-7.94558740738955,7.19361820318495,6.18647083535313,7
64,3360,"Pedro","Attacking midfielders",2,-5.26642962977845,4.10949553514716,3.73125355422264,1
65,3361,"A. Sánchez","Attacking midfielders",2,-2.79186315394942,0.255774748881698,0.195894894648971,1
66,3368,NA,"Centre backs",1,5.93370715065657,-1.49550589974051,-0.389822385429883,1
67,3372,"Aythami Artiles","Centre backs",1,6.366964231658,-1.52168123261684,2.01173696082016,2
68,3374,"Zé Castro","Centre backs",1,6.2936507669505,0.13250343091528,1.67566408379891,2
69,3375,"Laure","Defensive midfielders",3,3.02252189995673,-0.123927373957738,-2.28932781164149,3
70,3378,"Álex Bergantiños","Defensive midfielders",3,3.50441775508608,1.0540931182192,0.743581779267617,3
71,3380,"Juan Domínguez","Defensive midfielders",3,-0.145211235803796,-0.0686738002104847,-0.475437047700212,1
72,3381,"Borja Fernández","Centre backs",1,4.24397853780556,-1.88701074893046,-0.377778317397678,2
73,3384,"A. Guardado","Defensive midfielders",3,1.85409796118527,2.48110008386521,1.0912272927948,7
74,3394,"Bruno Gama","Attacking midfielders",2,-3.51203096469435,1.73560673474795,-1.33547071636751,1
75,3400,"F. Amorebieta","Centre backs",1,5.28326706430757,-2.11219020464091,-0.991814707832042,1
76,3403,"Borja Ekiza","Centre backs",1,5.40335601007204,-2.35180474454349,-0.965712393542487,1
77,3404,"Andoni Iraola","Midfielders",5,0.416152804401952,2.85232172553648,0.42309974949487,1
