pc,feature,group,loading_LLt,loading_Sa
PC2,per90_assists,Attacking output,0.3418726647036521,0.33790439431168656
PC2,per90_xg_shot,Attacking output,-0.2532213624294249,-0.25684558081130865
PC2,per90_xg_assist,Attacking output,0.5027457490877071,0.4984345256413428
PC2,per90_shots,Attacking output,0.009571570860685916,0.006778762944383306
PC2,per90_head_shots,Attacking output,-0.5859270499248914,-0.6042670106307737
PC2,per90_received_pass,Passing volume,0.654839230165532,0.6459795158680496
PC2,per90_passes,Passing volume,0.62827068611205406,0.620249474620606
PC2,per90_forward_passes,Passing volume,0.42156747727962457,0.41941535466203644
PC2,per90_back_passes,Passing volume,0.6251033957190029,0.6373013584925634
PC2,per90_lateral_passes,Passing volume,0.43768517067814977,0.43338476466591497
PC2,per90_long_passes,Passing volume,0.27077506109857663,0.27718917452327796
PC2,per90_smart_passes,Passing volume,0.3993790863752723,0.39916425619186946
PC2,per90_progressive_passes,Passing volume,0.5457318375186608,0.5447080990705049
PC2,per90_passes_to_final_third,Passing volume,0.4575443385035938,0.46404792875474565
PC2,per90_key_passes,Passing volume,0.5153178877565943,0.5114862108370425
PC2,per90_through_passes,Passing volume,0.47648585188991216,0.4856437141329022
PC2,per90_crosses,Passing volume,0.5590951930295197,0.5669144709706077
PC2,per90_shot_assists,Passing volume,0.5889821111397201,0.5838827796215279
PC2,rate_successful_passes,Passing quality,0.1362613938899899,0.1359978420268917
PC2,rate_successful_progressive_passes,Passing quality,0.42108242780979377,0.4217442748843572
PC2,per90_dribbles,Progressive actions,0.4267004970361363,0.4313216662877264
PC2,per90_progressive_run,Progressive actions,0.46895735359026297,0.48184147322686355
PC2,per90_accelerations,Progressive actions,0.3885893921124207,0.39669039457394695
PC2,rate_successful_dribbles,Progressive actions,0.06519918286782136,0.06596021676629364
PC2,per90_touch_in_box,Attacking output,-0.06199185568831718,-0.06513533988508267
PC2,per90_losses,Defending,0.1341424435741912,0.13922595703944324
PC2,per90_own_half_losses,Defending,0.01903538442335718,0.02194242719016463
