feature,sigma_a_diag_mean,var_b_mean,var_e_mean,prop_a_mean,prop_b_mean,prop_e_mean
per90_shots_blocked,0.290218647855,0.05350128528825,0.353672493,0.4166031240575,0.07525206818249999,0.508144807755
per90_defensive_duels,0.137761818355,0.127555981789,0.2469869860075,0.27241229349,0.23884840621575,0.4887393004275
per90_offensive_duels,0.17816103754,0.0325306084367,0.136664797715,0.5138379829425,0.09160460636775,0.3945574106975
per90_aerial_duels,0.13328251008,0.03144769357775,0.172838795055,0.3955934065575,0.090979340559,0.5134272528225
per90_pressing_duels,0.1118600235105,0.07329579859475,0.3746849225175,0.20054446345225,0.12722763162775,0.67222790489
per90_loose_ball_duels,0.3253173986125,0.0661121184735,0.162007408995,0.5895709314675,0.11654213592075,0.2938869327275
per90_sliding_tackles,0.10935473893075,0.07042578092075,0.2305100288625,0.2682002221825,0.1661000958725,0.56569968189
per90_dribbles_against,0.08158304793275,0.020844517581325,0.3002535492675,0.2026400776025,0.05097903688375,0.7463808855375
rate_defensive_duels_won,0.13828223631,0.01448644531432499,0.2148651637575,0.3761188060425,0.038942861562225,0.584938332485
rate_offensive_duels_won,0.1425482318675,0.027346400089225,0.18862487992,0.3981639065375,0.07448143279,0.5273546606675
rate_aerial_duels_won,0.1149922751675,0.017945209257225,0.179641473365,0.36810111418,0.05635325851224999,0.5755456274
rate_dribbles_against_won,0.0556138174045,0.01298556644445,0.33940810318,0.1362780874225,0.03150412214895,0.832217790375
rate_successful_sliding_tackles,0.1290295983025,0.35693245021225,0.191773710515,0.198609428821,0.5060272144625,0.29536335674749997
per90_fouls,0.3110612625725,0.143332023377,0.355694155765,0.3862759477775,0.17155457443575,0.4421694777325
per90_fouls_suffered,0.1371031384175,0.06539307607875,0.1673002039025,0.3733354584225,0.170772562432,0.4558919790775
per90_yellow_cards,0.114262753493,0.0057181303341975,0.1345915184225,0.4486873336,0.022289499008175,0.52902316743
