component,observed_variable,mean,median,sd,q5,q95,truth_value,error,rhat,ess_bulk,ess_tail
player,per90_forward_passes,0.031620127299,0.0315160215,0.00379347493868761,0.02566422899999999,0.03804185089999999,0.029689489127732067,0.0019306381712679357,1.0013481716378243,1187.5349170570962,2157.591599715379
player,per90_back_passes,0.11385156155825,0.1136769,0.00691043418368078,0.1027309025,0.125681941,0.10403013130667903,0.009821430251570978,1.0031889389328366,1342.8446799738806,2494.6650371531873
player,per90_lateral_passes,0.12094078653475,0.12071052,0.00916260332046976,0.106097485,0.1363258015,0.11834279499255815,0.002597991542191855,1.0016552337601812,1217.133568467204,2223.377192487422
player,per90_long_passes,0.2104843828075,0.210025735,0.01188463012305763,0.191678863,0.2306280305,0.22594555936003646,-0.015461176552536454,1.0047133881589756,1240.898776291363,2394.443396847449
player,per90_smart_passes,0.2231446094625,0.22280523,0.01020049739109522,0.2068931835,0.24038726899999996,0.2186021163023788,0.004542493160121203,1.0013035282299456,1285.742225154974,2293.079499952932
player,per90_progressive_passes,0.10668420795125,0.106576645,0.00776314760303444,0.0942867941,0.1199320745,0.09691694922739097,0.00976725872385903,1.0011719695593433,1439.868120918769,2334.50827841095
player,per90_passes_to_final_third,0.05302383723675,0.052918317,0.00468087559188376,0.04547624835,0.0609040424,0.053504512803372754,-4.806755666227555e-4,1.0012018258075437,1494.4252453228532,2311.364568285715
player,per90_key_passes,0.11112239053875,0.110955875,0.00815852719310087,0.09808203355,0.1248543465,0.11110421231588055,1.8178222869452698e-5,1.002356433406971,1387.5469909830567,2627.9564708491757
player,per90_through_passes,0.1655063116775,0.16544077,0.00821115258815491,0.152379458,0.1792093565,0.16470913231403572,7.971793634642677e-4,1.000959885125484,1593.518582422169,2662.2674194908805
player,per90_crosses,0.0755646620975,0.07555339050000001,0.00570251254986651,0.06626524595000001,0.085288321,0.08209951268062102,-0.0065348505831210185,1.0015589025943454,1235.6748231930642,2537.174611888874
player,per90_shot_assists,0.33802084934,0.33745987,0.01844487679267569,0.30868714599999997,0.36877207,0.35897663077535014,-0.02095578143535015,1.0049855871343223,1198.456098334535,2186.8001150474693
player,rate_successful_passes,0.1631612158975,0.16307153,0.010040996102129,0.1468385615,0.179620168,0.166841463400424,-0.0036802475029240056,1.0010274262086605,1537.9231661571405,1999.296900092353
player,rate_successful_progressive_passes,0.2127948847225,0.212424525,0.00970187127771819,0.197237936,0.229099843,0.18269931420146146,0.030095570521038534,1.001794797320632,1247.6972439309022,2311.985159902824
player,rate_successful_crosses,0.1472043211575,0.14683279500000002,0.01021763810315267,0.1307858435,0.16457941349999997,0.13903001045715074,0.008174310700349269,1.0018633223888316,1516.596751475776,2561.490901523892
player,per90_dribbles,0.18635375923,0.18624578,0.00869967767901384,0.1726117775,0.201102042,0.182946413845815,0.0034073453841849954,1.0019427780963857,1149.763236277177,2316.199920470136
player,per90_progressive_run,0.3399425789125,0.339340305,0.01771054400493847,0.31172059199999996,0.369897743,0.32955434870444783,0.010388230208052185,1.0053152276240065,1306.938379236762,2042.9510528205635
player,per90_accelerations,0.24738246247,0.24724491,0.01173228992597975,0.228633907,0.2675645025,0.227454475355619,0.019927987114381013,1.0005890694239796,1251.644848432773,2170.5951929256385
player,rate_successful_dribbles,0.10251929868175,0.10237741,0.00574640067513843,0.0933133076,0.11231113,0.0925903547479194,0.009928943933830592,1.0002855089973204,1226.4602667607453,2324.7516420716
player,per90_touch_in_box,0.17904566133,0.178831865,0.0091363676193309,0.1644287945,0.193999398,0.17844260950961377,6.030518203862245e-4,1.0004070901874391,1351.9286261458408,2011.0886125521693
player,per90_losses,0.098314570854,0.098213882,0.00665553056253658,0.08772575365,0.109283874,0.10196259227187623,-0.003648021417876235,1.0031722957955451,1352.579934537642,2385.4786796976177
player,per90_own_half_losses,0.1504764284075,0.15020452499999998,0.01118359976457698,0.1325366595,0.1691748845,0.15127689483286771,-8.00466425367713e-4,1.0020159757283162,1278.3417784300984,1883.3380132754023
player,per90_dangerous_own_half_losses,0.1568145471125,0.156341715,0.00974824262099912,0.1411910525,0.17322886650000002,0.1556027813370851,0.0012117657754149025,1.0014562887741545,1149.4578607143358,2300.475806519098
player,per90_recoveries,0.0583634823,0.058255206,0.00533836856679212,0.04979259324999999,0.06721215579999998,0.05367326488223943,0.004690217417760566,1.000955051897067,1340.0974506204968,2060.1170012307366
player,per90_opponent_half_recoveries,0.18011243832,0.179717105,0.01095609127971515,0.162665513,0.19873820299999995,0.18610051235277095,-0.005988074032770935,1.0055940144922184,1419.2625304698663,2439.3405954444615
player,per90_dangerous_opponent_half_recoveries,0.265373198595,0.26523125000000003,0.01234288177391115,0.245294903,0.2856591715,0.26902493388905885,-0.003651735294058822,1.001258216584343,1245.133656046184,1756.166581340084
player,per90_interceptions,0.07239534935475,0.0723084135,0.00515056024317167,0.06411905564999999,0.08082053474999999,0.06499732032019373,0.007398029034556275,1.00028001525677,1614.7261266797689,2296.5934752293465
player,per90_clearances,0.05803355218325,0.0577902525,0.00594071308183118,0.0487128218,0.0682208693,0.05047927529145384,0.007554276891796163,1.0029307768866704,1300.7766765355277,2212.981275884924
player,per90_shots_blocked,0.2797830125525,0.279050555,0.01631537252400651,0.25389643500000003,0.3068381685,0.28850090412382456,-0.008717891571324576,0.9998801979911628,1192.1496939087265,1936.9553299143304
player,per90_defensive_duels,0.1372160713425,0.136949035,0.00881519027765099,0.122944754,0.1524746095,0.13972143618100696,-0.0025053648385069682,1.002126774698204,1209.5349083889075,1913.7323335992912
player,per90_offensive_duels,0.1733633364,0.1731229,0.00843731270984533,0.1600482805,0.187750563,0.18129061467818497,-0.007927278278184957,1.002029219557652,1374.82676842228,1799.07309278085
player,per90_aerial_duels,0.13299932299,0.132805055,0.00746649025887502,0.1209673745,0.14528225899999997,0.13595685704865787,-0.002957534058657868,1.002143949786578,1393.9347502703472,2451.8747937358016
player,per90_pressing_duels,0.1111414914685,0.11108838,0.00909378621701273,0.09639014645,0.126094169,0.11095808641640229,1.8340505209771263e-4,1.003420350283585,1282.9757292945358,2499.005905625339
player,per90_loose_ball_duels,0.324462957655,0.3240203,0.01468023693411419,0.3010449115,0.349547495,0.28937919362856035,0.035083764026439646,1.0082712982083335,881.2725528275049,1871.3855704110524
player,per90_sliding_tackles,0.1017836729085,0.101615935,0.00709692794309093,0.0904794646,0.11377911849999998,0.09989383163546671,0.0018898412730332936,1.0020368129639552,1117.0801367078595,2592.6282814437013
player,per90_dribbles_against,0.07860458913075,0.078350732,0.00705039474080207,0.06726900834999999,0.09049744334999998,0.07184553529221897,0.006759053838531023,1.0027693568783356,1460.1237287543393,2449.6617237802516
player,rate_defensive_duels_won,0.136147836305,0.13595887,0.00814210784985239,0.1230754265,0.149839394,0.13013571705332397,0.006012119251676024,1.0009921193332942,1210.5178655866234,2166.3940643197634
player,rate_offensive_duels_won,0.13720047539,0.13710838,0.00791183359042706,0.1245575845,0.1502406285,0.14710706475153046,-0.009906589361530466,1.003306775381911,1186.415087909386,2141.4057999546612
player,rate_aerial_duels_won,0.11356821921625,0.113490185,0.00668647320808334,0.1030161185,0.124999363,0.11209112283898752,0.0014770963772624823,1.0048275584127282,1555.028525218053,2388.780165096406
player,rate_dribbles_against_won,0.05081046440425,0.050616973,0.00616258872411732,0.04096909305,0.0613358118,0.06888426417748207,-0.01807379977323207,1.0013704625357491,1087.7635725706705,1881.8528047789412
player,rate_successful_sliding_tackles,0.12325777350625,0.12312983500000001,0.00742085242513347,0.111660173,0.1356797055,0.12631740682357614,-0.0030596333173261436,1.0016988244929537,1410.742332956671,2458.510612350279
player,per90_fouls,0.30101468326,0.30077096999999997,0.01671500353739084,0.2748161975,0.328395973,0.29673707603410704,0.004277607225892988,1.0006790651134854,1255.3444373125708,2196.88639568739
player,per90_fouls_suffered,0.1331396782475,0.133032425,0.0073741051627369,0.121200138,0.14550906399999997,0.12489661188936549,0.008243066358134515,1.0015582576180195,1234.6553299333914,2295.7715477136694
player,per90_yellow_cards,0.11499362345975,0.115064775,0.00628988909599686,0.10477004,0.1255481905,0.11239467972555933,0.002598943734190673,1.0028852473142502,1232.2736807391923,1877.6958996188368
season,per90_goals,0.23575442175625,0.211228725,0.11104026499712276,0.1149671965,0.4353225174999996,0.15109754641851642,0.08465687533773358,1.0017952550341067,1274.520275343177,1793.083282625409
season,per90_assists,0.034654484447225,0.030076841,0.01916354376690112,0.01494556475,0.07126629225,0.0610303939044852,-0.026375909457260198,1.0018145257803743,1138.737787466084,2199.5067780993354
season,per90_xg_shot,0.22128525674375,0.19701937,0.10603956013195888,0.10497424,0.4233507844999999,0.10349509257574266,0.11779016416800733,1.0002530173445126,1827.7852850703396,2406.709127804148
season,per90_xg_assist,0.0689647017505,0.060558387,0.03645076810001008,0.0311261521,0.1370527455,0.043621372176870864,0.025343329573629135,1.0019825890040968,1265.3098938787682,2072.963344378972
season,per90_shots,0.013948067304175,0.011957285,0.00832288237741495,0.00556389197,0.02935717184999996,0.014604068897355183,-6.560015931801836e-4,1.0009197912162264,1556.7868531447048,2359.3129026468423
season,per90_head_shots,0.00707772507463499,0.0059312428,0.0044509132037257,0.002535957915,0.01570359494999999,0.011602227074588089,-0.004524501999953099,1.0021404688226598,1629.8027256859616,2634.711010579645
season,rate_shots_on_target,0.021862228344125,0.0188648795,0.01244730302793779,0.00928339912,0.04489479969999999,0.018907664740671265,0.0029545636034537352,1.0029350694448926,1035.5567796954974,1983.385981179971
season,rate_goal_conversion,0.12224889187925,0.10543038,0.06469833652633017,0.0547822234,0.2483243665,0.05282419605843215,0.06942469582081785,1.0037389626553068,1271.339821181289,1677.591006619618
season,per90_received_pass,0.0735328674315,0.06362356799999999,0.03940319558909067,0.03326366405,0.14233048699999992,0.03210866145282696,0.041424205978673044,1.009545444695992,1085.2779276669326,1578.9642812203288
season,per90_passes,0.1186233751875,0.10406195,0.0614552270313532,0.05493971785,0.23261052199999988,0.08744114951511521,0.031182225672384795,1.0014532314633255,1338.2508888594518,2038.325784103506
season,per90_forward_passes,0.038407094076675,0.03321185899999999,0.02138550294334069,0.0162301827,0.07793477534999993,0.05051696619780613,-0.012109872121131127,1.001996525378631,1252.4942197969974,2064.2381084840295
season,per90_back_passes,0.06331422332025,0.055120207,0.03466725893291037,0.0274192167,0.12701577299999994,0.049866675667812756,0.01344754765243724,1.001251201198616,1154.879593763799,1630.041584699707
season,per90_lateral_passes,0.024855882859675,0.0213454075,0.0150268316624098,0.0104655218,0.05109174229999998,0.013814502710443982,0.011041380149231018,1.0019902095617363,1232.4382680253366,2255.5438893888268
season,per90_long_passes,0.11107649516925,0.0973478855,0.0563000032254753,0.05186159165,0.2160781825,0.06490464588670647,0.04617184928254353,1.0008620871142695,1486.2025566452044,2003.0718445901805
season,per90_smart_passes,0.010028063670075,0.00843523345,0.00600368375458069,0.00398944567,0.02108815889999999,0.01626201759682175,-0.006233953926746749,1.0034462596794842,1238.1141543497504,1423.2450517041418
season,per90_progressive_passes,0.1097578597305,0.0939521245,0.06063422208250148,0.0493571283,0.2203370794999998,0.05896120276363315,0.050796656966866846,1.0004399868694456,1060.409699208628,1488.721553581614
season,per90_passes_to_final_third,0.08231957708875,0.071079302,0.04329506781621357,0.03701453025,0.16537519599999992,0.06920907201867105,0.013110505070078951,1.0026129201947187,1302.5132444225612,1689.2651608038032
season,per90_key_passes,0.075642330802,0.066315775,0.03942857442559949,0.0328824182,0.1494759895,0.0798015323873955,-0.004159201585395497,1.0014799671900287,1241.8625290591078,1644.0732860280034
season,per90_through_passes,0.1552462636715,0.138332905,0.07703629295488221,0.07095405575000001,0.2985173624999999,0.0842019678936953,0.07104429577780469,1.001364402154358,1069.5729880957017,1972.028450369604
season,per90_crosses,0.07557385001575,0.0660504225,0.0396164909278958,0.033214017,0.14883308799999995,0.04530650895369735,0.030267341062052644,1.0009003618116583,1208.583825301459,2032.0267765148897
season,per90_shot_assists,0.137711092028,0.120504425,0.06883994389324068,0.0648603228,0.267114672,0.06811031586182703,0.06960077616617297,1.0006799556491837,1415.330958668861,2388.828983776372
season,rate_successful_passes,0.04256650602005,0.0368532255,0.02315324827620245,0.0186481505,0.08419656839999999,0.022317261814313153,0.020249244205736847,1.0014495727880794,1351.2069856491537,2047.1717836712712
season,rate_successful_progressive_passes,0.05496943214975,0.04794245299999999,0.03069523203987541,0.02469078565,0.108600599,0.03679640428091831,0.018173027868831695,1.002187986724124,1205.8200017499269,1741.1186447078578
season,rate_successful_crosses,0.026041790641175,0.022203778,0.01523137653471042,0.01103034465,0.05397236464999998,0.03458767459231826,-0.008545883951143262,1.0017922057988669,1292.8112155258957,1832.1325707132617
season,per90_dribbles,0.06378538064474999,0.055045638,0.03492300966370999,0.0275306421,0.127845051,0.03573460779831171,0.028050772846438282,1.0046802109348445,1009.7344777501936,1840.9129774751063
season,per90_progressive_run,0.06352344935149999,0.05519958649999999,0.03453784725846821,0.0282320973,0.12729570999999998,0.06038729122007441,0.0031361581314255788,1.0012710661687545,1422.9917249242064,2342.966601302989
