feature,sigma_a_diag_mean,var_b_mean,var_e_mean,prop_a_mean,prop_b_mean,prop_e_mean
per90_aerial_duels,0.8819170737925,0.06910757951475,0.1384606683925,0.810303223145,0.06235049734575,0.12734627950525
per90_pressing_duels,0.45733195829,0.31682780849025,0.2255057778425,0.4653666637375,0.3049849803025,0.2296483560075
per90_loose_ball_duels,0.757686249605,0.12280560755275,0.1774227477675,0.7182396514175,0.1133905076205,0.1683698408725
per90_sliding_tackles,0.64961300389,0.12332349259375,0.2960389158925,0.6093377836475,0.11267841295125,0.2779838034425
per90_dribbles_against,0.7514950748075,0.14144884515775,0.185701460855,0.69932018073,0.1277122281165,0.172967591075
rate_defensive_duels_won,0.22835872066,0.1402277066385,0.6752461499725,0.21956395802,0.13070246963124998,0.6497335723275
rate_offensive_duels_won,0.41226352393,0.01246939231795,0.58170862666,0.4094234239425,0.012330071454725,0.578246504655
rate_aerial_duels_won,0.7895077708,0.004032456915055,0.23088617533,0.77050427556,0.0039308212506,0.22556490315
rate_dribbles_against_won,0.15508351644775,0.0060202348691252,0.8403027443175,0.15478400741,0.00599377464469842,0.8392222179025
rate_successful_sliding_tackles,0.04938964488975,0.011945845901155,0.94492971185,0.0490659732185,0.0118090440586275,0.9391249827225
per90_fouls,0.7687597898275,0.027568842168425,0.2591895637275,0.7282816387925,0.025891511436325,0.24582684995
per90_fouls_suffered,0.8176316502225,0.02028063962925,0.2117566867575,0.778851362315,0.019207917731875,0.201940719855
per90_yellow_cards,0.45377859691,0.0169934784673,0.5586466561025,0.4406178883525,0.016402708916625,0.5429794028275
