feature,group,p50_abs,p90_abs,p95_abs,p99_abs,max_abs,frac_gt_tau99
per90_dangerous_opponent_half_recoveries,Defending,0.5571022996141552,1.436216207755429,1.7825998036625237,2.6747051172673393,5.574984215077419,0.0056694286960314
per90_back_passes,Passing volume,0.5084245379807063,1.3882563861966315,1.7491149198507254,2.6644802400477214,5.679649154272822,0.0056694286960314
per90_defensive_duels,Dueling,0.49888453520453263,1.376168575963887,1.7362815226026098,2.6264476497695837,5.069576754721563,0.00436109899694723
per90_progressive_passes,Passing volume,0.5294540427372763,1.4349082237004753,1.826326063801691,2.6123194623936854,5.967451082465996,0.004579153946794592
per90_crosses,Passing volume,0.50242988405155,1.362640269994821,1.7257122781389396,2.5868028526755253,5.089348448997794,0.005015263846489315
per90_fouls,Discipline,0.5065800903277096,1.3664654501976576,1.6963934216391805,2.577977989215603,4.903504031562455,0.004143044047099869
per90_dribbles,Progressive actions,0.49573417468366476,1.38701208991082,1.7251481688903263,2.568688856742338,4.874596004003214,0.003706934147405146
per90_yellow_cards,Discipline,0.5457978685516659,1.396718672759361,1.6830692410538406,2.5568103934838398,4.238442685587458,0.004579153946794592
per90_long_passes,Passing volume,0.5149853264314455,1.3580830513654034,1.7296697573729563,2.548786752869033,4.964652282643855,0.003706934147405146
per90_clearances,Defending,0.5095185076905384,1.3863213153822942,1.7446776180691863,2.5412640387193903,4.762128138602556,0.0030527692978630614
per90_smart_passes,Passing volume,0.5190053546468985,1.4168678616923531,1.7861120113843492,2.5053947061418604,5.530414353315585,0.0032708242477104232
per90_through_passes,Passing volume,0.5226440099053938,1.4157555126230803,1.7483942151021505,2.5048869845909247,4.078979763443248,0.002398604448320977
per90_own_half_losses,Defending,0.5578268959152342,1.4081377071122194,1.7339371457514385,2.4824242072310763,4.2124837361168135,0.002398604448320977
per90_shots,Attacking output,0.5008769298801365,1.4172171226590424,1.7681088931841233,2.480521513063699,3.8808254491223293,0.0034888791975577847
rate_defensive_duels_won,Defending,0.5559282302973971,1.4639484970690395,1.7998509197335268,2.4654426425890956,4.644458750224652,0.0028347143480157
per90_interceptions,Defending,0.529621670486291,1.4135460093230083,1.7488039193912739,2.441796380282069,4.199517550743512,0.0030527692978630614
per90_recoveries,Defending,0.5245791564519506,1.3989581314657,1.756251588006125,2.4338185907411605,6.795511709723329,0.0039249890972525075
per90_head_shots,Attacking output,0.538946427922518,1.3837485457114584,1.7059443789635365,2.377261365522317,4.02169223210886,0.0010902747492368076
per90_fouls_suffered,Discipline,0.5002643832498146,1.3530216331112617,1.6627755612258375,2.341953246472838,4.032159107125841,0.0019624945486262538
per90_shots_blocked,Defending,0.5901243062482057,1.3883707008241695,1.7410619927312916,2.3127058985901003,3.35113954222136,4.361098996947231e-4
