observed_index,observed_variable,true_var_a,true_var_b,true_var_e,true_psi_a,true_psi_b,true_sigma_epsilon
25,per90_dribbles,0.182946413845815,0.03573460779831171,0.13782402256495765,0.11407320443213459,0.008148875506516893,0.37124657919630405
26,per90_progressive_run,0.32955434870444783,0.06038729122007441,0.33755128871252166,0.04393876106907414,0.05513900528249959,0.580991642549634
27,per90_accelerations,0.227454475355619,0.02122590186073862,0.1770661443753811,0.06168084265318099,0.013439606653851029,0.42079228174407035
28,rate_successful_dribbles,0.0925903547479194,0.020651516952469366,0.1390374852099083,0.07682019373168068,0.020649665345302635,0.37287730583921075
29,per90_touch_in_box,0.17844260950961377,0.018649905640075907,0.16706438685835123,0.09307834524728328,0.011671106091326156,0.40873510597739365
30,per90_losses,0.10196259227187623,0.03098214539703183,0.21065762242732738,0.08139208859835412,0.02103960465360207,0.45897453352808953
31,per90_own_half_losses,0.15127689483286771,0.06060991136433036,0.4108647671300568,0.09541775829616905,0.04189798263389484,0.6409873377298937
32,per90_dangerous_own_half_losses,0.1556027813370851,0.06136278918908859,0.27309704534281076,0.037077826491860935,0.019005516863211083,0.5225868782727048
33,per90_recoveries,0.05367326488223943,0.07676307841116647,0.24569912094953425,0.02300762168312234,0.061841557209508236,0.4956804625457153
34,per90_opponent_half_recoveries,0.18610051235277095,0.05555112236020916,0.2889098324539834,0.07311163924481609,0.05204245384680458,0.5375033325050026
35,per90_dangerous_opponent_half_recoveries,0.26902493388905885,0.01651921930994975,0.16888687777350211,0.1073638267913468,0.008303336108461231,0.4109584866790101
36,per90_interceptions,0.06499732032019373,0.05578919513624485,0.19436663399079587,0.03010934156356792,0.04837795717458178,0.44087031425442547
37,per90_clearances,0.05047927529145384,0.05391307710320733,0.3104689686647543,0.026302615540917864,0.04726346575163927,0.5571974234189838
38,per90_shots_blocked,0.28850090412382456,0.042969863398506364,0.35557244471595173,0.11129326415198038,0.010276512637191103,0.5962989558232948
39,per90_defensive_duels,0.13972143618100696,0.05665411085069734,0.25637742467306585,0.11944722308453086,0.05136376432054418,0.5063372637610882
40,per90_offensive_duels,0.18129061467818497,0.02794010702775867,0.141112882364639,0.09986556927711503,0.020024777541763485,0.3756499465787783
41,per90_aerial_duels,0.13595685704865787,0.05305806993352987,0.1768094695846103,0.08701984585201833,0.04385744606674988,0.42048718123696743
42,per90_pressing_duels,0.11095808641640229,0.049808360214166125,0.38887528616081823,0.03329138367090775,0.039678884488386384,0.6235986579209566
43,per90_loose_ball_duels,0.28937919362856035,0.04649366533075654,0.16032748157343035,0.11970813159983909,0.03915706860471155,0.4004091427195817
44,per90_sliding_tackles,0.09989383163546671,0.044176090212329676,0.2349626074288459,0.02587137838083703,0.006641252687531912,0.4847294167149812
45,per90_dribbles_against,0.07184553529221897,0.02111904680859062,0.3067147432435006,0.040961853822507666,0.012505710489129797,0.5538183305412531
46,rate_defensive_duels_won,0.13013571705332397,0.01906279338847368,0.2198009848213745,0.022633656646428725,0.010797714051476245,0.46882937708869576
47,rate_offensive_duels_won,0.14710706475153046,0.011991590319548431,0.18968662895088068,0.08200117969033376,0.01131513860401318,0.43553028476890177
48,rate_aerial_duels_won,0.11209112283898752,0.03716511240768575,0.18452080022106881,0.09580842571790629,0.03711644238231767,0.4295588437234983
49,rate_dribbles_against_won,0.06888426417748207,0.026901590316888935,0.32845657887595237,0.043300466647330796,0.02679036627379418,0.5731113145593554
50,rate_successful_sliding_tackles,0.12631740682357614,0.1394482328899953,0.19670053651139255,0.05437715858661915,0.050655425683922846,0.44350934207905085
51,per90_fouls,0.29673707603410704,0.06420816010704025,0.36086272077328924,0.09330829357277033,0.06118017682132082,0.6007185037713498
52,per90_fouls_suffered,0.12489661188936549,0.03578731841250405,0.17276363356486216,0.058761518191666674,0.020145063476796225,0.4156484494917095
53,per90_yellow_cards,0.11239467972555933,0.008177037513490455,0.1337574054498262,0.09637076112102537,0.007286075416821161,0.3657285953406244
