feature,factor,loading,q5,q95,group,abs_loading
per90_crosses,PCA_Factor_1,0.3680513344464882,0.18816403151605593,0.4858008676605246,Passing volume,0.3680513344464882
per90_shot_assists,PCA_Factor_1,0.49673872411265074,0.2214837830219867,0.667491085266507,Passing volume,0.49673872411265074
rate_successful_passes,PCA_Factor_1,-0.5180524204139524,-0.6170258658337354,-0.4401383827467242,Passing quality,0.5180524204139524
rate_successful_progressive_passes,PCA_Factor_1,-0.03523554869863577,-0.20575469890165168,0.07856448925693993,Passing quality,0.03523554869863577
rate_successful_crosses,PCA_Factor_1,-0.10531009648305406,-0.13847889336321287,-0.07450061055433624,Passing quality,0.10531009648305406
per90_dribbles,PCA_Factor_1,0.6577284490318906,0.44737012086037087,0.7942169216872645,Progressive actions,0.6577284490318906
per90_progressive_run,PCA_Factor_1,0.43914906041863955,0.19986047660915174,0.5899887322384885,Progressive actions,0.43914906041863955
per90_accelerations,PCA_Factor_1,0.44021783615563637,0.25192344355610824,0.5648609236913948,Progressive actions,0.44021783615563637
rate_successful_dribbles,PCA_Factor_1,-0.25920980543336825,-0.2888503450977186,-0.22700745045269355,Progressive actions,0.25920980543336825
per90_touch_in_box,PCA_Factor_1,0.7495444478481226,0.6366993601920484,0.8316920488057343,Attacking output,0.7495444478481226
per90_losses,PCA_Factor_1,0.5210291197523265,0.3405140921976162,0.6382182850832258,Defending,0.5210291197523265
per90_own_half_losses,PCA_Factor_1,-0.27874390175795116,-0.40549806689286033,-0.18425285458655413,Defending,0.27874390175795116
per90_dangerous_own_half_losses,PCA_Factor_1,-0.44045285253527405,-0.4827644081111803,-0.3959351255215085,Defending,0.44045285253527405
per90_recoveries,PCA_Factor_1,-0.7182610803580184,-0.777314103677248,-0.6598071127464711,Defending,0.7182610803580184
per90_opponent_half_recoveries,PCA_Factor_1,-0.009356526997794136,-0.2738603260277038,0.16668316663487873,Defending,0.009356526997794136
per90_dangerous_opponent_half_recoveries,PCA_Factor_1,0.24872065467977877,0.020710460389679084,0.3948330793626467,Defending,0.24872065467977877
per90_interceptions,PCA_Factor_1,-0.5970774323141682,-0.653776646528691,-0.5395737153075549,Defending,0.5970774323141682
per90_clearances,PCA_Factor_1,-0.6011738708914358,-0.6669337009152638,-0.5181778166875326,Defending,0.6011738708914358
per90_shots_blocked,PCA_Factor_1,-0.52850330197502,-0.568945527318634,-0.48809937600902414,Defending,0.52850330197502
per90_defensive_duels,PCA_Factor_1,-0.1488450709329277,-0.3450732156481324,-0.006181118312707886,Dueling,0.1488450709329277
per90_offensive_duels,PCA_Factor_1,0.7754344308834564,0.5763253557569241,0.9034248170025789,Dueling,0.7754344308834564
