query_player_name,query_archetype,neighbor_player_name,neighbor_archetype,style_dist_mean,style_dist_q05,style_dist_q95,p_closest_neighbor,level_gap_mean,level_gap_q05,level_gap_q95
K. Benzema,Attacking midfielders,M. Depay,Attacking midfielders,1.037571079745583,0.4852479100598319,1.597966396978374,0.04825,0.8454022316996403,0.37386641218017724,1.3703604450785414
K. Benzema,Attacking midfielders,L. Vietto,Attacking midfielders,1.073442473510358,0.6234903192385799,1.5497408602834493,0.0135,1.8209883049770212,1.3505307148248333,2.316423259234531
K. Benzema,Attacking midfielders,A. Griezmann,Attacking midfielders,1.1371995499296723,0.7540478903839279,1.5682365223791352,0.002,1.204472601650632,0.8643275709811102,1.5677816299896319
K. Benzema,Attacking midfielders,G. Bale,Attacking midfielders,1.2067237485732227,0.7222357370263727,1.6885226438955385,0.00375,1.274056012213476,0.840663438869382,1.7212133847990791
K. Benzema,Attacking midfielders,Malcom,Attacking midfielders,1.256635235574149,0.7585758757293298,1.8117742981458074,0.00475,2.3787001391652245,1.7749352829874971,2.966527086296364
Koke,Midfielders,Hugo Sotelo,Midfielders,0.3989290789845375,0.1464042958436993,0.7278878761221759,0.23475,0.4165532399101249,0.12679145844827044,0.7424927020258255
Koke,Midfielders,Sergi Roberto,Midfielders,0.4011604209166217,0.15806805513218694,0.7335515962063993,0.198,0.24849743562330578,0.06295911985597814,0.4810721621291529
Koke,Midfielders,Dani Parejo,Midfielders,0.4135749000822034,0.19411345671460786,0.6961677635523037,0.14775,0.7820760628500547,0.5062708059682397,1.0715844631757934
Koke,Midfielders,Dani Ceballos,Midfielders,0.5282089820466644,0.2373461722250358,0.8622151907536412,0.072,0.280819555634308,0.07191219359654476,0.5508697853212522
Koke,Midfielders,M. Kovačić,Midfielders,0.5413329386851107,0.20562011395454408,0.9575948811997158,0.084,0.3088163829029769,0.07832355941593624,0.6051681922200147
Koke,Midfielders,Adriano,Midfielders,0.5805526705719617,0.29985641518851464,0.9686645674300502,0.0425,0.505955016431546,0.16111438712158951,0.8996810588365511
Koke,Midfielders,Álex López,Midfielders,0.5874226562480678,0.2885237926882836,0.9577614810003027,0.031,0.5200993292791182,0.14665986045774765,0.9849052671298995
Koke,Midfielders,I. Rakitić,Midfielders,0.6993909157896907,0.25423489436475905,1.165415322250591,0.03725,0.6423067349157888,0.36948441305963453,0.9282433910302559
Koke,Midfielders,Kirian Rodríguez,Midfielders,0.7127983192695736,0.2540633612038028,1.2402005548047226,0.04375,0.43667804281695527,0.1128560902764229,0.8273694399701701
Koke,Midfielders,E. Camavinga,Midfielders,0.7200761549854391,0.4567998092356116,1.0108052165332155,0.00225,0.2598687860248308,0.06474473640175837,0.5165913084133359
L. Messi,Attacking midfielders,Neymar,Attacking midfielders,1.101683534479962,0.5979723380156419,1.6380000003763342,0.918,2.0155680303343213,1.4407924085327084,2.5861966841398254
L. Messi,Attacking midfielders,Pedro,Attacking midfielders,1.6879922905068199,1.2589368826494425,2.1268678756463917,0.049,2.778505998471881,2.1402810711020313,3.451574605501679
L. Messi,Attacking midfielders,J. Rodríguez,Attacking midfielders,1.738366392476811,1.3061694310580139,2.1961298636631534,0.013,3.4522119199978545,2.9241702169113024,3.9813542011955225
L. Messi,Attacking midfielders,Philippe Coutinho,Attacking midfielders,1.8178697422099528,1.4920174107082846,2.1589999210503823,0.00725,3.1518545292164357,2.607339097556888,3.6717720904455593
L. Messi,Attacking midfielders,Jonathan Viera,Attacking midfielders,1.8856374763317874,1.4647570111740462,2.334416780483137,0.00375,3.850635562660986,3.364924960520083,4.327934527692095
L. Messi,Attacking midfielders,S. Nasri,Midfielders,1.8961143828637057,1.49765775582101,2.336088764483287,0.006,4.259516345447005,3.644494993180682,4.843866925825915
L. Messi,Attacking midfielders,Isco,Attacking midfielders,1.9360904419926483,1.5680886917858463,2.330735566593964,7.5e-4,4.026129456506486,3.528014074447286,4.521836964403152
