player_index,player_id,player_name,n_seasons,pc1_score,pc2_score,pc3_score
506,22202,S. Zaza,2,-5.555956940292683,-4.911479269990001,1.1820583205917627
507,22386,S. Longo,1,-4.8507789190435044,-4.795717194149538,-0.7079779986121254
508,22566,A. Florenzi,1,2.402657500217994,2.761413829143551,-0.5159900758960945
509,22578,N. Sansone,2,-5.550319083451294,-1.3602506022998606,1.3949346348632956
510,25391,T. Kolodziejczak,2,4.767065338305787,-1.5926673897113046,1.3910147304846685
511,25392,Bakary Koné,1,5.184482677998365,-1.9752751927544758,1.0558496260430497
512,25397,S. Umtiti,5,5.907993077326575,0.2788036826881169,3.0951158501108686
513,25405,M. Gonalons,4,2.9372861021091605,-0.36071266918338807,-0.3656432868347017
514,25407,C. Grenier,1,0.3905984547249839,1.9938826439636892,-0.708156762036055
515,25440,J. Pastore,1,-2.382688174433873,4.167179301056512,1.4042507496893537
516,25441,M. Sissoko,1,1.5360648463627793,0.9223515972218868,-0.3956128864314563
517,25445,K. Gameiro,7,-6.213829642314699,-2.311207145503132,1.2519297680779147
518,25452,S. Corchia,1,1.8921914731182363,0.910660941699099,-2.1072997218085443
519,25461,R. Boudebouz,2,-2.922349052604244,4.221212257359475,0.9445858045510026
520,25470,S. Prcić,1,4.884171464888683,1.6748888391708998,-0.027753967363793604
521,25472,C. Bakambu,4,-5.430680595352189,-3.7631444149069226,0.9159033038741033
522,25477,S. Gürler,1,-3.845610004466337,0.8738092224298513,-1.3826237907356056
523,25537,G. Krychowiak,2,4.502198787379954,-0.7510204591472699,0.8882386124796925
524,25553,César Azpilicueta,3,3.4858626058467665,1.3588048084949433,0.4970954449172937
525,25568,S. M'Bia,1,2.953617319847365,-1.6017168064817275,0.46588249092155004
526,25577,L. Rémy,1,-5.219418890896949,-1.845542846488382,2.2807436601472593
527,25586,Mariano,2,1.3260628312771352,3.392603249944577,-1.513205467679806
528,25590,NA,2,1.0081257013903686,1.1237980341304155,-0.5394075725188987
529,25623,G. Kondogbia,6,2.957941019576545,1.1222402906962499,0.7845267482947922
530,25638,D. Foulquier,11,0.9361482833017166,-0.09470025577803844,-2.4419013474119398
531,25701,L. Digne,2,3.1187822797913514,3.613933057098298,0.3161570901299066
532,25707,E. Hazard,3,-6.042531255322885,4.500611037084609,2.3216939875033296
533,25784,A. Abdennour,2,5.398523366696837,-2.943589866324226,0.3349800114246341
534,25785,S. Aurier,1,2.377238358116669,1.5939058380363431,0.610138371112847
535,25795,W. Ben Yedder,3,-6.742899520278552,-1.9221118409816211,2.4530554804995064
536,25798,E. Capoue,4,1.592784232298091,1.0253245587046904,1.7148393175229926
537,25809,E. Rivière,1,-4.139519062487991,-3.80255913428524,0.08619817431503318
538,25831,C. Medjani,2,4.525232314273878,-2.409305748423895,1.4330882433239625
539,25867,P. Aubameyang,1,-6.245571403588951,-3.2479486133425413,2.7941312157758076
540,25888,F. Fajr,4,-0.14754719070888325,2.795015280695275,0.6886759710739351
541,25942,G. Imbula,1,-1.4954065638603684,1.2142551118952645,1.303567157335955
542,26032,C. Doukouré,1,0.46908844954903917,-2.8573354453893116,0.5022772607256046
543,26038,J. Campbell,1,-4.433221366611112,3.502811269984193,-0.8303291484413012
544,26065,J. Martin,1,-0.15115361863261245,0.013194148302986061,1.4548409068961596
545,26084,L. Carole,1,2.7800991308285994,2.4945297192964553,0.17740455423571605
546,26167,C. Beauvue,3,-4.654336324822295,-5.1078305843751215,0.5082202444275806
547,26195,M. Saunier,1,5.181238842751865,-2.404833175736571,-0.12669589623181274
548,26307,A. Mandi,8,5.073739184306395,-0.8419309280814194,2.639202516052429
549,26332,P. Baysse,1,4.984947768801939,-3.370601345483356,0.3369297197512184
550,26384,G. Kakuta,3,-4.213045898341052,1.9005132620942045,-0.35599537380918356
551,26515,F. Kadir,1,-1.3999600232527507,4.036839571520277,0.11121903315318152
552,26518,C. Sánchez,1,4.428448380363289,-0.2925164003382036,0.28176472311056505
553,26638,K. Toko-Ekambi,2,-7.014343238847672,-2.069775232095992,1.1845045082747834
554,26652,D. Wass,7,0.5197930166879665,1.6708221927195466,0.6392919027928344
555,26792,R. Aït-Atmane,2,1.6602235205858065,1.8181208257764423,-0.12423797737130907
556,28115,N. Fekir,5,-5.588809104744584,2.9241674124857364,1.2029884799574893
557,28232,I. Amadou,2,2.1954130417851934,-1.7663716573768982,0.28117027670794315
558,28292,A. Doucouré,1,2.7755990480720043,0.24450930880393498,0.5984414949189969
559,28529,Y. Sabaly,4,1.6891342409108483,1.207328781248002,-1.0949901992053703
560,28922,T. Lemar,5,-1.9742520049447791,3.228133619653159,0.9541220341173747
561,29642,G. Peñalba,1,4.475719807219513,1.4178670654896601,1.2403857671564547
562,32577,Sidnei,7,4.628786209727198,-1.7844483037134027,1.0396242116351557
563,32601,Bebé,5,-4.73776054924293,1.8580936216460315,-2.0459464707882544
