variable,q5,q95,mean,rhat,ess_bulk,true_value,covered_90,abs_bias
"Lambda_a[10,2]",0.6395488524999999,0.716878215,0.677707056775,1.0018070418791922,2908.2867179088375,0.7,TRUE,0.022292943224999973
psi_a[1],0.4221993885,0.5312196705,0.478163988835,1.0025273953013143,2881.803236911804,0.5,TRUE,0.021836011165000002
psi_a[2],0.356596176,0.445605996,0.400985564105,0.9989914274322226,4023.5811555070077,0.4,TRUE,9.85564105000003e-4
psi_a[3],0.552939986,0.62593318,0.589144450935,1.001167660379535,3271.5697057151433,0.6,TRUE,0.01085554906499997
psi_a[4],0.297740365,0.364479065,0.33089059968,1.0013453555944523,3456.699385280314,0.3,TRUE,0.03089059968000002
psi_a[5],0.45284160100000004,0.5132844434999999,0.483097217615,1.0017038579411308,3677.2143238377957,0.5,TRUE,0.01690278238499998
psi_a[6],0.663517013,0.737070009,0.700042138085,1.0001094021108408,3504.801754620371,0.7,TRUE,4.213808500008742e-5
psi_a[7],0.3523926485,0.4108420895,0.381554331515,1.0028215655346981,3589.8843107976327,0.4,TRUE,0.01844566848500001
psi_a[8],0.4684043545,0.5414958885,0.504976717355,1.0026847141112003,3952.279956112675,0.5,TRUE,0.004976717355000049
psi_a[9],0.5279589665000001,0.5874149719999999,0.55783790012,1.0008993676087499,3127.426781109351,0.6,FALSE,0.04216209987999997
psi_a[10],0.289396247,0.36768414349999995,0.329347411975,1.002131396539839,3378.2604001444106,0.3,TRUE,0.029347411975000015
sigma_b[1],0.2451666385,0.5414520534999999,0.363147803955,1.0080202079790965,952.7662745112638,0.4,TRUE,0.03685219604500001
sigma_b[2],0.2882963695,0.6290734739999999,0.42730510558,1.003708839111849,853.4969954694373,0.4,TRUE,0.02730510557999999
sigma_b[3],0.3301701815,0.697271114,0.48161543045,1.001570908890791,1074.006143386033,0.4,TRUE,0.08161543044999997
sigma_b[4],0.2408209835,0.541223541,0.3591259229,1.0026281949490812,838.6829306741741,0.4,TRUE,0.04087407710000002
sigma_b[5],0.28235551799999997,0.6240374079999998,0.422854536025,1.0030618867324157,814.7165324905072,0.4,TRUE,0.022854536024999983
sigma_b[6],0.3749910685,0.784281652,0.54640346501,1.00266536412191,827.7311747827579,0.4,TRUE,0.14640346501
sigma_b[7],0.2531328765,0.5856518525,0.382771320525,1.0042278158797,892.4173951474226,0.4,TRUE,0.01722867947500001
sigma_b[8],0.29227422000000003,0.6241042195,0.427967431515,1.0018543236375164,1207.0521662998465,0.4,TRUE,0.027967431514999974
sigma_b[9],0.3596646175,0.7534509949999999,0.524390789775,1.0044555207432686,1011.2446054240085,0.4,TRUE,0.12439078977499995
sigma_b[10],0.27230395599999996,0.5599674104999999,0.39126580976499997,1.0012236848710705,1015.2725910098417,0.4,TRUE,0.00873419023500005
sigma_e[1],0.595292244,0.6258896665,0.61019503089,1.0050031723714599,3551.23719870148,0.6,TRUE,0.010195030890000067
sigma_e[2],0.5829709485,0.6165776295,0.599571083375,1.0005138648773908,3100.925684431233,0.6,TRUE,4.289166249999976e-4
sigma_e[3],0.578556214,0.6092988505,0.594020753685,1.0034172801203263,3324.3676705141293,0.6,TRUE,0.00597924631500002
sigma_e[4],0.58614981,0.6160917445,0.601025904075,1.0009531077192941,3165.554840788479,0.6,TRUE,0.0010259040750000281
sigma_e[5],0.584121081,0.6138922084999999,0.59877446677,1.0084223710502687,3060.5792708355903,0.6,TRUE,0.0012255332299999644
sigma_e[6],0.591285272,0.621462617,0.6059632082,1.002566483168613,3507.103201471429,0.6,TRUE,0.00596320820000007
sigma_e[7],0.572936122,0.602436273,0.58731561689,1.0005651108815619,3212.5654414688183,0.6,TRUE,0.012684383109999975
sigma_e[8],0.5981961760000001,0.6297418185,0.613238256005,0.999117665637983,3132.749175740044,0.6,TRUE,0.01323825600500006
sigma_e[9],0.5769797865,0.6059394385,0.591259497685,1.0027549639202031,3155.256550470475,0.6,TRUE,0.00874050231500001
sigma_e[10],0.5803541139999999,0.6095963215,0.594634609725,1.0039414510151998,3184.727789624619,0.6,TRUE,0.005365390274999937
