feature,group,p99_abs,tau_99_val,skewness,icc_player,icc_season,recommended_transform,n_distinct_seasons,verdict
per90_fouls,Discipline,2.577977989215603,3.0556094662596567,0.5235155725581069,0.21956395802,0.13070246963124998,none,NA,unremarkable_p99
per90_dribbles,Progressive actions,2.568688856742338,3.0556094662596567,1.613770029357501,0.7478408394925,0.0364206151654,sqrt,NA,unremarkable_p99
per90_yellow_cards,Discipline,2.5568103934838398,3.0556094662596567,0.8533236685033699,0.77050427556,0.0039308212506,none,NA,unremarkable_p99
per90_long_passes,Passing volume,2.548786752869033,3.0556094662596567,0.8763484978827446,0.8203870508125,0.00773331251575,none,NA,unremarkable_p99
per90_clearances,Defending,2.5412640387193903,3.0556094662596567,1.1796773173063395,0.7903941958925,0.00498496762591,sqrt,NA,unremarkable_p99
per90_smart_passes,Passing volume,2.5053947061418604,3.0556094662596567,3.130602606645216,0.7930684253225,0.019203019177075,log1p,1,unremarkable_p99
per90_through_passes,Passing volume,2.5048869845909247,3.0556094662596567,2.664161340432361,0.7815386401925,0.021985786619525,log1p,NA,unremarkable_p99
per90_own_half_losses,Defending,2.4824242072310763,3.0556094662596567,-0.1931101231539692,0.2288792289375,0.0079764621640675,none,NA,unremarkable_p99
per90_shots,Attacking output,2.480521513063699,3.0556094662596567,1.2075213356861263,0.8570035421675,0.0100585951664,sqrt,NA,unremarkable_p99
rate_defensive_duels_won,Defending,2.4654426425890956,3.0556094662596567,1.9667647618742357,0.7182396514175,0.1133905076205,sqrt,NA,unremarkable_p99
per90_interceptions,Defending,2.441796380282069,3.0556094662596567,0.31102630665506814,0.887367626605,0.0110822054284,none,NA,unremarkable_p99
per90_recoveries,Defending,2.4338185907411605,3.0556094662596567,0.2123744212248248,0.7507918417275,0.07141682098425,none,1,unremarkable_p99
per90_head_shots,Attacking output,2.377261365522317,3.0556094662596567,2.3274789159976117,0.74149544797,0.00119627582496393,log1p,NA,unremarkable_p99
per90_fouls_suffered,Discipline,2.341953246472838,3.0556094662596567,0.8594738998418555,0.4094234239425,0.012330071454725,none,NA,unremarkable_p99
per90_shots_blocked,Defending,2.3127058985901003,3.0556094662596567,1.454527670316798,0.4599007598225,0.00776110149475,sqrt,NA,unremarkable_p99
