parameter,observed_variable,mean,median,sd,q5,q95,truth_value,error,rhat,ess_bulk,ess_tail
psi_b_sd,per90_assists,0.12322549505625,0.11749902,0.03392620207125221,0.0780343406,0.187916854,0.2065223865187727,-0.0832968914625227,1.0013028203456635,1343.173653008496,2331.5075030094417
psi_b_sd,per90_xg_shot,0.21917586720925,0.209360685,0.06231091276415398,0.13845677499999998,0.3357626165,0.22503470249474047,-0.005858835285490471,1.0149391822304297,1171.454737892696,1790.6881997300377
psi_b_sd,per90_xg_assist,0.2453177673525,0.23642968,0.05813300002988232,0.1696387865,0.3535029229999999,0.20383450923254712,0.041483258119952876,1.0003461732311427,1239.8593671691374,1814.3105024913384
psi_b_sd,per90_shots,0.11852118309,0.112240585,0.03280991329004248,0.07691219684999999,0.18106761699999993,0.1198194483644329,-0.0012982652744328999,1.0016218770376772,1447.023268311319,2573.2237651574032
psi_b_sd,per90_head_shots,0.0776945640435,0.0727896515,0.02455269802072017,0.0470075278,0.12275463149999992,0.09369080750038847,-0.015996243456888465,1.0046787052313553,1442.3315911522775,2260.0404196890845
psi_b_sd,rate_shots_on_target,0.13397959124125,0.127681835,0.03554996119010716,0.087347203,0.20212719899999992,0.11053649138426408,0.02344309985698592,1.0048563972443418,1123.1906994423243,1804.6456815093388
psi_b_sd,rate_goal_conversion,0.3015826560725,0.29269928,0.06951204323991551,0.2068744105,0.42673553349999993,0.22344986679265275,0.07813278927984726,1.0071980086277448,1343.636684745427,1895.7366933590763
psi_b_sd,per90_received_pass,0.249520189085,0.238820025,0.06033745264006092,0.1714691865,0.363791636,0.17898476522881537,0.07053542385618464,1.0031074755911653,1285.6170125822862,1707.270575113251
psi_b_sd,per90_passes,0.21655115342475,0.20678753,0.05728213372477616,0.1419444905,0.3217068729999999,0.1856788915162906,0.030872261908459403,1.007999455258863,1330.8954703070997,2044.5301991307183
psi_b_sd,per90_forward_passes,0.1921878663645,0.184330605,0.04829413194060215,0.1290522555,0.276151958,0.21620584287913516,-0.024017976514635164,1.0004349694310772,1482.418042651835,2282.880631104818
psi_b_sd,per90_back_passes,0.169719978366,0.161908,0.04479893791302504,0.11259093,0.2531245555,0.22088505306746808,-0.05116507470146808,1.001708201174819,1377.2830538327075,2428.237624480349
psi_b_sd,per90_lateral_passes,0.126474584282,0.120157065,0.03557249668545004,0.08179086814999999,0.191023074,0.10017485762713477,0.02629972665486524,1.0033546469889667,1115.7603538165365,1750.132848244752
psi_b_sd,per90_long_passes,0.2634093187675,0.253237515,0.06438033260371212,0.17898311,0.379573061,0.17450804047519342,0.0889012782923066,1.0057145701347248,1043.6858751211282,1919.8887796564088
psi_b_sd,per90_smart_passes,0.08475866206125,0.08066248949999999,0.02415047002698159,0.0541497402,0.129560306,0.12062222574604675,-0.03586356368479675,1.0024063396516405,1244.4916323489117,2039.4232957429108
psi_b_sd,per90_progressive_passes,0.26528670815,0.25644250999999996,0.06465534971404235,0.1805563615,0.3855469074999998,0.1853511393908411,0.07993556875915889,1.007948066477741,1353.0580339383555,2379.6019533466433
psi_b_sd,per90_passes_to_final_third,0.2485417492475,0.238897335,0.06008006059790936,0.1692649205,0.3619803394999999,0.24734192772069943,0.0011998215268005652,1.0010696614405512,1264.2536326926331,2200.362057341723
psi_b_sd,per90_key_passes,0.17619887075649998,0.16885834,0.0455114802397627,0.1172994335,0.2614412084999998,0.24555822980822994,-0.06935935905172996,1.0165809676790434,1020.0293287668042,2329.8248336100833
